UFS
LATEST_ANNOUNCEMENT_DT
8/1/2006
10/31/2006
5/21/2007
8/13/2007
11/7/2007
2/15/2008
5/6/2008
8/8/2008
11/5/2008
2/5/2009
5/1/2009
8/4/2009
10/30/2009
2/4/2010
4/30/2010
7/30/2010
10/29/2010
2/4/2011
4/28/2011
7/28/2011
10/27/2011
2/3/2012
4/26/2012
7/27/2012
10/25/2012
2/1/2013
4/25/2013
7/25/2013
10/24/2013
2/7/2014
4/24/2014
7/24/2014
10/23/2014
2/6/2015
4/30/2015
7/30/2015
10/30/2015
02/05/2016
04/28/2016
07/27/2016
10/27/2016
02/09/2017
04/27/2017
