RRGB
LATEST_ANNOUNCEMENT_DT
4/21/2002
8/8/2002
11/6/2002
2/27/2003
5/22/2003
8/14/2003
11/3/2003
2/26/2004
5/20/2004
8/12/2004
11/4/2004
2/14/2005
5/19/2005
8/11/2005
11/3/2005
2/16/2006
5/18/2006
8/10/2006
11/2/2006
2/22/2007
5/24/2007
8/16/2007
11/8/2007
2/21/2008
5/20/2008
8/14/2008
11/6/2008
2/19/2009
5/21/2009
8/13/2009
11/5/2009
2/18/2010
5/20/2010
8/12/2010
11/4/2010
2/17/2011
5/19/2011
8/11/2011
11/3/2011
2/16/2012
5/16/2012
8/9/2012
10/29/2012
2/19/2013
5/21/2013
8/15/2013
11/5/2013
2/14/2014
5/20/2014
8/14/2014
11/4/2014
2/13/2015
5/19/2015
8/11/2015
11/3/2015
2/12/2016
05/17/2016
08/09/2016
11/02/2016
02/21/2017
05/16/2017
