CUZ
LATEST_ANNOUNCEMENT_DT
5/6/1996
8/8/1996
11/5/1996
2/18/1997
4/29/1997
8/5/1997
11/11/1997
2/17/1998
4/29/1998
8/4/1998
11/5/1998
2/11/1999
5/4/1999
6/30/1999
10/26/1999
2/8/2000
5/2/2000
7/31/2000
10/31/2000
2/5/2001
5/1/2001
8/8/2001
11/13/2001
2/11/2002
5/1/2002
8/5/2002
10/28/2002
2/11/2003
5/5/2003
8/4/2003
10/27/2003
1/26/2004
4/26/2004
8/2/2004
11/1/2004
1/31/2005
5/2/2005
8/3/2005
10/31/2005
2/6/2006
5/3/2006
8/7/2006
11/6/2006
2/28/2007
5/7/2007
8/9/2007
11/5/2007
2/11/2008
5/12/2008
8/11/2008
11/5/2008
2/9/2009
5/5/2009
8/10/2009
11/4/2009
2/8/2010
5/10/2010
8/9/2010
11/8/2010
2/7/2011
5/4/2011
8/3/2011
11/2/2011
2/21/2012
5/9/2012
7/31/2012
10/30/2012
2/13/2013
5/8/2013
7/29/2013
10/30/2013
2/13/2014
5/7/2014
7/29/2014
10/29/2014
2/12/2015
5/6/2015
7/28/2015
10/27/2015
2/10/2016
05/04/2016
07/26/2016
11/01/2016
02/08/2017
05/03/2017
