IMGC
LATEST_ANNOUNCEMENT_DT
3/28/1996
7/24/1996
9/18/1996
12/23/1996
3/10/1997
7/24/1997
9/25/1997
12/18/1997
3/12/1998
7/29/1998
9/24/1998
12/23/1998
3/23/1999
8/10/1999
9/21/1999
1/5/2000
3/23/2000
7/20/2000
9/21/2000
1/4/2001
3/22/2001
7/19/2001
9/20/2001
1/8/2002
3/20/2002
7/18/2002
9/19/2002
1/7/2003
3/18/2003
7/17/2003
9/23/2003
12/18/2003
3/18/2004
7/15/2004
9/22/2004
12/20/2004
3/16/2005
7/27/2005
9/28/2005
1/3/2006
4/3/2006
8/11/2006
10/6/2006
