PB
LATEST_ANNOUNCEMENT_DT
12/31/1996
12/31/1997
1/31/1999
4/12/1999
7/19/1999
10/18/1999
1/18/2000
4/12/2000
7/13/2000
10/12/2000
1/11/2001
4/20/2001
7/12/2001
10/11/2001
1/16/2002
4/11/2002
7/15/2002
10/21/2002
1/16/2003
4/14/2003
7/22/2003
10/15/2003
1/16/2004
4/14/2004
7/14/2004
10/15/2004
1/20/2005
4/15/2005
7/15/2005
10/14/2005
1/20/2006
4/21/2006
7/20/2006
10/20/2006
1/24/2007
4/20/2007
7/20/2007
10/23/2007
1/25/2008
4/18/2008
7/23/2008
10/17/2008
1/27/2009
4/17/2009
7/17/2009
10/16/2009
1/22/2010
4/23/2010
7/23/2010
10/22/2010
1/21/2011
4/14/2011
7/22/2011
10/21/2011
1/20/2012
4/27/2012
7/27/2012
10/24/2012
1/25/2013
4/24/2013
7/24/2013
10/23/2013
1/24/2014
4/23/2014
7/25/2014
10/29/2014
1/23/2015
4/24/2015
7/24/2015
10/23/2015
1/27/2016
04/27/2016
07/27/2016
10/26/2016
01/25/2017
04/26/2017
