LBY
LATEST_ANNOUNCEMENT_DT
4/24/1996
7/30/1996
10/22/1996
2/5/1997
4/23/1997
7/23/1997
10/20/1997
2/4/1998
4/22/1998
7/22/1998
10/21/1998
2/3/1999
4/21/1999
7/21/1999
10/20/1999
2/2/2000
4/20/2000
7/27/2000
10/27/2000
1/31/2001
4/24/2001
7/25/2001
10/26/2001
2/6/2002
4/24/2002
7/24/2002
10/25/2002
2/6/2003
4/24/2003
7/23/2003
10/28/2003
2/5/2004
4/27/2004
7/22/2004
10/21/2004
2/3/2005
4/26/2005
7/28/2005
10/26/2005
2/16/2006
4/27/2006
7/28/2006
10/25/2006
2/15/2007
4/24/2007
7/31/2007
11/1/2007
2/14/2008
5/1/2008
8/1/2008
10/30/2008
2/11/2009
4/30/2009
7/30/2009
10/29/2009
2/10/2010
4/29/2010
7/29/2010
10/20/2010
2/9/2011
4/28/2011
7/28/2011
10/27/2011
2/16/2012
4/27/2012
7/26/2012
10/25/2012
2/21/2013
4/25/2013
7/30/2013
10/29/2013
2/21/2014
5/1/2014
7/31/2014
11/4/2014
2/27/2015
4/30/2015
7/30/2015
11/5/2015
2/24/2016
