SPAR
LATEST_ANNOUNCEMENT_DT
5/7/1996
8/6/1996
10/30/1996
3/5/1997
5/8/1997
8/12/1997
11/13/1997
3/23/1998
5/6/1998
7/30/1998
10/28/1998
2/18/1999
4/29/1999
7/29/1999
10/28/1999
2/17/2000
4/27/2000
7/27/2000
10/26/2000
2/15/2001
5/15/2001
7/26/2001
10/25/2001
2/14/2002
4/25/2002
8/1/2002
10/24/2002
2/13/2003
4/24/2003
7/31/2003
10/23/2003
2/19/2004
4/28/2004
7/29/2004
10/28/2004
2/17/2005
4/28/2005
7/28/2005
10/27/2005
2/16/2006
4/27/2006
7/27/2006
10/26/2006
2/15/2007
5/1/2007
7/26/2007
10/25/2007
2/14/2008
4/24/2008
7/24/2008
10/23/2008
2/19/2009
4/28/2009
7/23/2009
10/22/2009
2/18/2010
4/27/2010
7/23/2010
10/28/2010
2/15/2011
4/26/2011
7/26/2011
10/26/2011
2/14/2012
5/1/2012
8/2/2012
10/30/2012
2/12/2013
5/8/2013
8/1/2013
10/29/2013
2/11/2014
5/7/2014
8/5/2014
10/30/2014
2/24/2015
5/5/2015
8/5/2015
11/5/2015
2/25/2016
