AMCX
LATEST_ANNOUNCEMENT_DT
6/20/2011
6/20/2011
6/20/2011
6/20/2011
6/20/2011
6/20/2011
6/20/2011
6/20/2011
6/20/2011
8/11/2011
11/10/2011
3/15/2012
5/10/2012
8/9/2012
11/8/2012
2/26/2013
5/9/2013
8/8/2013
11/7/2013
2/27/2014
5/8/2014
8/7/2014
11/6/2014
2/26/2015
5/4/2015
8/6/2015
11/05/2015
02/25/2016
05/05/2016
08/04/2016
11/03/2016
02/23/2017
05/04/2017
