MMS
LATEST_ANNOUNCEMENT_DT
8/14/1997
12/22/1997
2/4/1998
4/30/1998
7/23/1998
11/18/1998
1/27/1999
4/28/1999
7/28/1999
11/10/1999
1/26/2000
4/26/2000
7/26/2000
11/16/2000
2/1/2001
5/1/2001
8/2/2001
11/15/2001
2/5/2002
5/2/2002
8/1/2002
11/21/2002
2/6/2003
5/6/2003
8/1/2003
11/21/2003
2/4/2004
5/6/2004
8/5/2004
11/17/2004
2/2/2005
5/4/2005
8/3/2005
11/21/2005
2/1/2006
5/3/2006
8/2/2006
11/15/2006
2/8/2007
5/9/2007
8/7/2007
11/14/2007
2/6/2008
5/8/2008
8/7/2008
11/13/2008
2/5/2009
5/7/2009
8/6/2009
11/12/2009
2/4/2010
5/6/2010
8/5/2010
11/11/2010
2/3/2011
5/5/2011
8/4/2011
11/10/2011
2/2/2012
5/3/2012
8/7/2012
11/15/2012
2/7/2013
5/9/2013
8/8/2013
11/15/2013
2/6/2014
5/8/2014
8/7/2014
11/13/2014
2/5/2015
5/7/2015
8/6/2015
11/12/2015
2/4/2016
05/05/2016
08/04/2016
11/10/2016
02/02/2017
05/04/2017
