PLKI
LATEST_ANNOUNCEMENT_DT
9/17/1997
10/21/1997
5/6/1998
7/29/1998
10/21/1998
3/29/1999
5/4/1999
7/28/1999
10/20/1999
3/27/2000
5/31/2000
8/23/2000
11/13/2000
3/27/2001
5/21/2001
8/14/2001
11/13/2001
2/20/2002
5/24/2002
8/13/2002
11/12/2002
12/15/2003
5/24/2004
8/13/2003
11/19/2003
1/21/2004
5/28/2004
8/20/2004
11/12/2004
3/28/2005
5/27/2005
8/19/2005
11/10/2005
3/8/2006
5/23/2006
8/16/2006
11/1/2006
3/14/2007
5/31/2007
8/22/2007
11/14/2007
3/12/2008
5/28/2008
8/20/2008
11/12/2008
3/11/2009
5/27/2009
8/19/2009
11/12/2009
3/10/2010
5/26/2010
8/18/2010
11/10/2010
3/9/2011
5/25/2011
8/17/2011
11/9/2011
3/7/2012
5/23/2012
8/15/2012
11/7/2012
2/27/2013
5/29/2013
8/21/2013
11/13/2013
2/26/2014
5/28/2014
8/20/2014
11/12/2014
2/25/2015
5/27/2015
8/19/2015
11/11/2015
2/23/2016
05/25/2016
08/16/2016
11/09/2016
02/22/2017
05/24/2017
