LPX
LATEST_ANNOUNCEMENT_DT
1/27/1992
1/27/1993
4/14/1992
7/14/1992
10/19/1992
1/27/1993
4/20/1993
7/20/1993
10/19/1993
1/26/1994
4/14/1994
7/14/1994
10/13/1994
1/24/1995
4/13/1995
7/13/1995
10/30/1995
2/5/1996
5/6/1996
7/11/1996
10/15/1996
1/22/1997
4/14/1997
7/14/1997
10/27/1997
1/29/1998
4/22/1998
7/27/1998
10/26/1998
1/27/1999
4/27/1999
7/22/1999
10/21/1999
1/26/2000
4/28/2000
7/25/2000
10/26/2000
1/29/2001
4/24/2001
7/19/2001
10/24/2001
1/29/2002
4/25/2002
7/24/2002
10/23/2002
2/4/2003
4/23/2003
7/29/2003
10/22/2003
2/5/2004
4/28/2004
7/28/2004
10/27/2004
2/7/2005
4/27/2005
7/27/2005
10/26/2005
2/6/2006
4/26/2006
7/26/2006
10/24/2006
2/6/2007
4/25/2007
7/25/2007
10/29/2007
2/5/2008
5/6/2008
7/29/2008
11/4/2008
2/27/2009
5/5/2009
8/4/2009
11/3/2009
2/10/2010
5/10/2010
7/30/2010
11/8/2010
2/10/2011
5/9/2011
7/29/2011
11/7/2011
2/7/2012
5/7/2012
7/31/2012
11/6/2012
2/8/2013
5/7/2013
8/6/2013
11/5/2013
2/13/2014
5/8/2014
8/5/2014
11/5/2014
2/11/2015
5/5/2015
8/4/2015
11/03/2015
02/11/2016
05/09/2016
08/04/2016
10/31/2016
02/08/2017
05/08/2017
