MDP
LATEST_ANNOUNCEMENT_DT
8/5/1991
8/5/1992
8/5/1992
10/13/1992
1/19/1993
4/22/1993
8/5/1993
10/21/1993
1/25/1994
4/21/1994
8/1/1994
10/25/1994
1/24/1995
4/25/1995
8/2/1995
10/25/1995
1/23/1996
4/23/1996
8/6/1996
10/21/1996
1/22/1997
4/23/1997
8/5/1997
10/21/1997
1/20/1998
4/20/1998
8/6/1998
10/21/1998
1/19/1999
4/20/1999
8/10/1999
10/19/1999
1/18/2000
4/19/2000
8/8/2000
10/17/2000
1/31/2001
5/2/2001
8/2/2001
10/29/2001
1/29/2002
5/1/2002
8/1/2002
10/30/2002
1/28/2003
4/29/2003
8/5/2003
10/29/2003
1/27/2004
4/27/2004
8/3/2004
10/27/2004
1/25/2005
4/26/2005
9/12/2005
10/24/2005
1/24/2006
4/25/2006
7/26/2006
10/25/2006
1/23/2007
4/25/2007
7/25/2007
10/24/2007
1/22/2008
4/22/2008
7/30/2008
10/29/2008
1/22/2009
4/29/2009
7/29/2009
10/29/2009
1/21/2010
4/28/2010
7/29/2010
10/26/2010
1/25/2011
4/27/2011
7/28/2011
10/26/2011
1/24/2012
4/25/2012
7/26/2012
10/25/2012
1/24/2013
4/25/2013
7/25/2013
10/24/2013
1/29/2014
4/24/2014
7/31/2014
10/23/2014
1/28/2015
4/23/2015
7/30/2015
10/29/2015
01/27/2016
04/28/2016
07/28/2016
10/27/2016
01/25/2017
04/27/2017
