FHN
LATEST_ANNOUNCEMENT_DT
4/7/1992
3/31/1993
1/18/1994
4/19/1993
7/15/1993
10/15/1993
1/18/1994
4/18/1994
7/19/1994
10/13/1994
1/17/1995
4/17/1995
7/18/1995
10/16/1995
1/16/1996
4/15/1996
7/15/1996
10/17/1996
1/22/1997
4/14/1997
7/15/1997
10/15/1997
1/20/1998
4/14/1998
7/14/1998
10/14/1998
1/19/1999
4/13/1999
7/14/1999
10/14/1999
2/28/2000
4/13/2000
7/18/2000
10/19/2000
1/17/2001
4/17/2001
7/18/2001
10/17/2001
1/16/2002
4/16/2002
7/15/2002
10/16/2002
1/17/2003
4/14/2003
7/17/2003
10/22/2003
1/21/2004
4/20/2004
7/21/2004
10/21/2004
1/19/2005
4/21/2005
7/18/2005
10/17/2005
1/18/2006
4/19/2006
7/19/2006
10/18/2006
1/17/2007
4/18/2007
7/19/2007
10/18/2007
1/17/2008
4/17/2008
7/14/2008
10/17/2008
1/16/2009
4/17/2009
7/17/2009
10/16/2009
1/19/2010
4/16/2010
7/16/2010
10/15/2010
1/21/2011
4/21/2011
7/15/2011
10/17/2011
1/20/2012
4/19/2012
7/20/2012
10/19/2012
1/18/2013
4/19/2013
7/19/2013
10/18/2013
1/17/2014
4/17/2014
7/18/2014
10/17/2014
1/23/2015
4/17/2015
7/17/2015
10/16/2015
01/19/2016
04/15/2016
07/15/2016
10/14/2016
01/13/2017
04/21/2017
