MRX
LATEST_ANNOUNCEMENT_DT
4/18/1996
8/6/1996
10/22/1996
1/14/1997
4/17/1997
8/6/1997
10/15/1997
1/12/1998
4/16/1998
8/12/1998
10/21/1998
1/20/1999
4/20/1999
8/11/1999
10/19/1999
1/18/2000
4/24/2000
8/23/2000
10/19/2000
1/24/2001
4/19/2001
8/23/2001
10/18/2001
1/23/2002
4/18/2002
8/27/2002
10/17/2002
1/22/2003
4/22/2003
8/26/2003
10/30/2003
1/22/2004
4/29/2004
8/24/2004
10/19/2004
1/20/2005
4/20/2005
9/1/2005
5/9/2006
8/2/2006
11/8/2006
2/28/2007
5/8/2007
8/7/2007
11/7/2007
2/27/2008
5/8/2008
8/5/2008
11/10/2008
2/25/2009
5/7/2009
8/5/2009
11/4/2009
2/25/2010
5/5/2010
8/5/2010
11/4/2010
2/25/2011
5/5/2011
8/8/2011
11/8/2011
2/27/2012
5/8/2012
8/8/2012
11/9/2012
