HELE
LATEST_ANNOUNCEMENT_DT
5/2/1996
7/9/1996
10/8/1996
1/14/1997
5/6/1997
7/8/1997
10/7/1997
1/6/1998
5/5/1998
7/8/1998
10/6/1998
1/4/1999
4/13/1999
7/13/1999
9/30/1999
1/4/2000
5/11/2000
7/14/2000
10/5/2000
1/10/2001
5/8/2001
5/31/2001
10/8/2001
1/8/2002
5/6/2002
7/11/2002
10/10/2002
1/9/2003
5/13/2003
7/9/2003
10/2/2003
1/13/2004
5/13/2004
7/12/2004
10/12/2004
1/6/2005
5/12/2005
7/11/2005
10/11/2005
1/9/2006
5/9/2006
7/10/2006
10/5/2006
1/9/2007
5/11/2007
7/10/2007
10/10/2007
1/9/2008
5/13/2008
7/8/2008
10/8/2008
1/8/2009
5/13/2009
7/9/2009
10/7/2009
1/11/2010
5/12/2010
7/8/2010
10/6/2010
1/10/2011
5/10/2011
7/7/2011
10/6/2011
1/5/2012
4/27/2012
7/10/2012
10/10/2012
1/9/2013
4/29/2013
7/9/2013
10/9/2013
1/9/2014
4/28/2014
7/9/2014
10/9/2014
1/8/2015
4/28/2015
7/9/2015
10/8/2015
1/7/2016
04/28/2016
07/07/2016
10/06/2016
01/05/2017
04/27/2017
