CYMI
LATEST_ANNOUNCEMENT_DT
4/23/1997
7/24/1997
10/23/1997
1/29/1998
4/23/1998
7/27/1998
10/26/1998
2/1/1999
4/26/1999
7/26/1999
10/25/1999
1/31/2000
4/25/2000
7/25/2000
10/30/2000
1/30/2001
4/24/2001
7/24/2001
10/23/2001
2/5/2002
4/23/2002
7/22/2002
10/22/2002
1/28/2003
4/22/2003
7/22/2003
10/21/2003
1/27/2004
4/20/2004
7/20/2004
10/19/2004
1/25/2005
4/19/2005
7/19/2005
10/18/2005
3/15/2006
4/18/2006
7/25/2006
10/24/2006
1/30/2007
4/24/2007
7/26/2007
10/23/2007
1/29/2008
4/22/2008
7/24/2008
10/21/2008
2/11/2009
4/21/2009
7/22/2009
10/20/2009
1/28/2010
4/22/2010
7/22/2010
10/21/2010
2/2/2011
4/21/2011
7/21/2011
10/20/2011
2/2/2012
4/24/2012
7/24/2012
10/26/2012
2/15/2013
4/26/2013
