HRC
LATEST_ANNOUNCEMENT_DT
3/30/1993
6/29/1993
9/28/1993
1/11/1994
3/29/1994
6/28/1994
9/27/1994
1/17/1995
4/4/1995
7/5/1995
10/3/1995
1/16/1996
4/2/1996
7/2/1996
10/1/1996
1/14/1997
4/1/1997
7/1/1997
9/30/1997
1/13/1998
6/30/1998
9/29/1998
1/12/1999
7/6/1999
9/27/1999
1/11/2000
3/28/2000
6/27/2000
9/27/2000
1/18/2001
4/6/2001
7/3/2001
10/2/2001
2/5/2002
5/9/2002
8/8/2002
1/7/2003
2/6/2003
5/8/2003
7/30/2003
11/13/2003
2/13/2004
5/6/2004
7/29/2004
11/16/2004
2/9/2005
5/9/2005
8/9/2005
11/28/2005
2/7/2006
5/9/2006
8/9/2006
11/16/2006
2/6/2007
5/10/2007
8/9/2007
11/15/2007
2/6/2008
5/13/2008
8/6/2008
11/10/2008
2/4/2009
5/4/2009
8/6/2009
11/11/2009
2/3/2010
5/4/2010
7/28/2010
10/27/2010
1/26/2011
4/27/2011
7/27/2011
10/26/2011
1/25/2012
4/25/2012
7/25/2012
10/24/2012
1/23/2013
4/24/2013
7/24/2013
10/23/2013
1/23/2014
5/2/2014
8/7/2014
11/5/2014
2/3/2015
5/5/2015
8/7/2015
11/05/2015
02/01/2016
04/29/2016
08/04/2016
11/03/2016
01/27/2017
05/05/2017
