KNT
LATEST_ANNOUNCEMENT_DT
5/7/1996
7/10/1996
10/10/1996
1/14/1997
5/7/1997
7/10/1997
10/9/1997
1/14/1998
5/5/1998
7/14/1998
10/13/1998
1/12/1999
5/11/1999
8/3/1999
10/19/1999
1/18/2000
5/8/2000
7/18/2000
10/24/2000
1/16/2001
