BELFB
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/23/1996
10/22/1996
3/4/1997
4/22/1997
7/22/1997
10/21/1997
1/27/1998
4/22/1998
7/21/1998
10/22/1998
2/11/1999
4/27/1999
7/27/1999
10/28/1999
2/1/2000
4/27/2000
7/26/2000
10/25/2000
2/5/2001
4/24/2001
7/26/2001
10/26/2001
2/8/2002
4/26/2002
7/26/2002
10/28/2002
2/13/2003
4/29/2003
7/28/2003
10/29/2003
2/19/2004
4/29/2004
7/26/2004
10/27/2004
2/17/2005
4/27/2005
7/27/2005
10/26/2005
2/16/2006
5/1/2006
7/27/2006
10/27/2006
2/15/2007
4/30/2007
7/27/2007
10/26/2007
2/14/2008
4/25/2008
7/30/2008
10/29/2008
2/12/2009
4/30/2009
7/30/2009
10/29/2009
2/11/2010
4/29/2010
7/30/2010
10/28/2010
2/10/2011
4/28/2011
7/28/2011
10/27/2011
2/9/2012
4/27/2012
7/26/2012
10/26/2012
2/14/2013
5/1/2013
7/31/2013
10/30/2013
2/13/2014
4/30/2014
7/30/2014
10/29/2014
2/19/2015
4/29/2015
7/29/2015
10/28/2015
2/18/2016
02/17/2017
05/05/2017
