ticker,date
AAL,2006-01-18 00:00:00
AAL,2006-04-19 00:00:00
AAL,2006-07-19 00:00:00
AAL,2006-10-18 00:00:00
AAL,2007-01-17 00:00:00
AAL,2007-04-18 00:00:00
AAL,2012-02-15 00:00:00
AAL,2012-04-20 00:00:00
AAL,2012-07-18 00:00:00
AAL,2012-10-17 00:00:00
AAL,2013-01-16 00:00:00
AAL,2013-04-18 00:00:00
AAL,2013-07-18 00:00:00
AAL,2013-10-17 00:00:00
AAL,2014-01-28 00:00:00
AAL,2014-04-24 00:00:00
AAL,2014-10-23 00:00:00
AAL,2017-04-28 00:00:00
AAL,2017-07-28 00:00:00
AAPL,2017-04-25 00:00:00
AAPL,2017-07-25 00:00:00
ADBE,2014-12-11 00:00:00
ADBE,2017-06-20 00:00:00
ADI,2006-02-09 00:00:00
ADI,2010-08-17 00:00:00
ADI,2010-11-22 00:00:00
ADI,2017-05-17 00:00:00
ADI,2017-08-16 00:00:00
ADP,2006-01-25 00:00:00
ADP,2011-07-28 00:00:00
ADP,2012-08-01 00:00:00
ADP,2017-04-27 00:00:00
ADP,2017-07-27 00:00:00
ADSK,2006-11-02 00:00:00
ADSK,2007-02-01 00:00:00
ADSK,2010-08-12 00:00:00
ADSK,2010-11-18 00:00:00
ADSK,2017-08-24 00:00:00
AEO,2006-05-18 00:00:00
AEO,2017-08-16 00:00:00
AKAM,2006-10-26 00:00:00
AKAM,2017-04-25 00:00:00
AKAM,2017-07-25 00:00:00
ALTR,2006-01-25 00:00:00
ALTR,2006-10-24 00:00:00
ALTR,2009-10-13 00:00:00
ALTR,2010-10-19 00:00:00
ALTR,2015-07-23 00:00:00
ALTR,2015-10-22 00:00:00
ALTR,2016-01-28 00:00:00
ALXN,2006-04-27 00:00:00
ALXN,2006-08-08 00:00:00
ALXN,2006-11-01 00:00:00
ALXN,2007-02-15 00:00:00
ALXN,2007-05-01 00:00:00
ALXN,2007-07-25 00:00:00
ALXN,2007-10-25 00:00:00
ALXN,2008-07-29 00:00:00
ALXN,2009-04-23 00:00:00
ALXN,2009-07-23 00:00:00
ALXN,2009-10-22 00:00:00
ALXN,2010-02-11 00:00:00
ALXN,2010-04-22 00:00:00
ALXN,2010-07-22 00:00:00
ALXN,2010-10-21 00:00:00
ALXN,2011-02-10 00:00:00
ALXN,2011-04-21 00:00:00
ALXN,2017-07-27 00:00:00
AMAT,2010-08-18 00:00:00
AMAT,2010-11-17 00:00:00
AMAT,2017-08-17 00:00:00
AMGN,2006-01-26 00:00:00
AMGN,2017-07-26 00:00:00
AMZN,2017-07-27 00:00:00
APOL,2007-06-28 00:00:00
APOL,2009-03-31 00:00:00
APOL,2010-10-13 00:00:00
APOL,2016-04-06 00:00:00
APOL,2016-07-07 00:00:00
APOL,2016-10-20 00:00:00
APOL,2017-01-09 00:00:00
APOL,2017-04-05 00:00:00
ATVI,2009-11-05 00:00:00
ATVI,2017-08-03 00:00:00
AVGO,2007-03-06 00:00:00
AVGO,2008-08-21 00:00:00
AVGO,2008-08-21 00:00:00
AVGO,2008-12-09 00:00:00
AVGO,2008-08-21 00:00:00
AVGO,2008-08-21 00:00:00
AVGO,2008-12-09 00:00:00
AVGO,2008-12-09 00:00:00
AVGO,2009-02-25 00:00:00
AVGO,2009-06-04 00:00:00
AVGO,2009-09-03 00:00:00
AVGO,2009-12-03 00:00:00
AVGO,2010-02-24 00:00:00
AVGO,2010-05-26 00:00:00
AVGO,2010-08-24 00:00:00
AVGO,2010-12-02 00:00:00
AVGO,2011-02-23 00:00:00
AVGO,2011-05-24 00:00:00
AVGO,2012-02-22 00:00:00
AVGO,2015-05-28 00:00:00
AVGO,2017-09-07 00:00:00
BBBY,2009-04-07 00:00:00
BBBY,2009-06-24 00:00:00
BBBY,2009-09-23 00:00:00
BBBY,2010-09-22 00:00:00
BBBY,2010-12-22 00:00:00
BBBY,2017-06-22 00:00:00
BBRY,2017-06-23 00:00:00
BIDU,2008-04-24 00:00:00
BIDU,2008-10-01 00:00:00
BIDU,2017-07-27 00:00:00
BIIB,2017-04-20 00:00:00
BIIB,2017-07-20 00:00:00
BMRN,2006-02-23 00:00:00
BMRN,2006-05-03 00:00:00
BMRN,2006-08-02 00:00:00
BMRN,2006-11-01 00:00:00
BMRN,2007-02-20 00:00:00
BMRN,2007-04-30 00:00:00
BMRN,2007-08-07 00:00:00
BMRN,2007-11-01 00:00:00
BMRN,2008-02-26 00:00:00
BMRN,2009-10-28 00:00:00
BMRN,2010-02-23 00:00:00
BMRN,2010-04-29 00:00:00
BMRN,2010-08-02 00:00:00
BMRN,2010-10-28 00:00:00
BMRN,2011-02-17 00:00:00
BMRN,2011-04-28 00:00:00
BMRN,2014-02-26 00:00:00
BMRN,2017-04-27 00:00:00
BMRN,2017-08-03 00:00:00
BRCM,2006-01-26 00:00:00
BRCM,2006-04-20 00:00:00
BRCM,2007-01-23 00:00:00
BRCM,2007-01-23 00:00:00
BRCM,2007-02-08 00:00:00
BRCM,2007-04-26 00:00:00
BRCM,2007-07-19 00:00:00
BRCM,2007-10-23 00:00:00
BRCM,2008-01-24 00:00:00
BRCM,2008-04-22 00:00:00
BRCM,2008-07-22 00:00:00
BRCM,2008-10-21 00:00:00
BRCM,2009-01-29 00:00:00
BRCM,2009-04-21 00:00:00
BRCM,2009-07-23 00:00:00
BRCM,2009-10-22 00:00:00
BRCM,2010-02-03 00:00:00
BRCM,2010-04-27 00:00:00
BRCM,2010-07-27 00:00:00
BRCM,2010-10-26 00:00:00
BRCM,2011-02-01 00:00:00
BRCM,2011-04-26 00:00:00
BRCM,2011-07-25 00:00:00
BRCM,2011-10-25 00:00:00
BRCM,2012-01-31 00:00:00
BRCM,2012-05-01 00:00:00
BRCM,2012-07-24 00:00:00
BRCM,2012-10-23 00:00:00
BRCM,2013-01-29 00:00:00
BRCM,2013-04-23 00:00:00
BRCM,2013-07-23 00:00:00
BRCM,2013-10-22 00:00:00
BRCM,2014-01-30 00:00:00
BRCM,2014-04-24 00:00:00
BRCM,2014-07-22 00:00:00
BRCM,2014-10-21 00:00:00
BRCM,2015-01-29 00:00:00
BRCM,2015-04-21 00:00:00
BRCM,2015-07-30 00:00:00
BRCM,2015-10-26 00:00:00
BRCM,2016-02-04 00:00:00
CA,2006-06-29 00:00:00
CA,2014-05-15 00:00:00
CA,2017-07-26 00:00:00
CDNS,2006-02-01 00:00:00
CDNS,2007-02-23 00:00:00
CDNS,2008-12-10 00:00:00
CDNS,2009-07-29 00:00:00
CDNS,2009-10-28 00:00:00
CDNS,2010-02-03 00:00:00
CDNS,2010-04-28 00:00:00
CDNS,2010-07-28 00:00:00
CDNS,2010-10-27 00:00:00
CDNS,2011-02-02 00:00:00
CDNS,2011-04-27 00:00:00
CDNS,2017-07-24 00:00:00
CELG,2006-01-26 00:00:00
CELG,2007-02-27 00:00:00
CELG,2008-01-31 00:00:00
CELG,2012-01-26 00:00:00
CELG,2017-07-27 00:00:00
CEPH,2008-07-29 00:00:00
CEPH,2011-05-03 00:00:00
CEPH,2011-08-02 00:00:00
CERN,2006-02-02 00:00:00
CERN,2006-04-20 00:00:00
CERN,2006-07-20 00:00:00
CERN,2006-10-19 00:00:00
CERN,2007-02-01 00:00:00
CERN,2007-04-19 00:00:00
CERN,2007-07-24 00:00:00
CERN,2009-10-28 00:00:00
CERN,2017-05-04 00:00:00
CERN,2017-08-01 00:00:00
CHKP,2008-01-23 00:00:00
CHKP,2008-10-28 00:00:00
CHKP,2009-04-27 00:00:00
CHKP,2009-07-28 00:00:00
CHKP,2009-10-22 00:00:00
CHKP,2010-01-28 00:00:00
