BSMTQ
LATEST_ANNOUNCEMENT_DT
5/20/1996
8/15/1996
11/18/1996
3/21/1997
5/19/1997
8/18/1997
11/17/1997
3/19/1998
5/18/1998
8/17/1998
11/16/1998
3/18/1999
5/17/1999
8/16/1999
12/14/1999
