GYMB
LATEST_ANNOUNCEMENT_DT
5/15/1996
8/14/1996
11/13/1996
2/19/1997
5/14/1997
8/13/1997
11/12/1997
2/5/1998
5/13/1998
9/15/1998
11/11/1998
2/25/1999
5/20/1999
8/19/1999
11/18/1999
2/24/2000
5/18/2000
8/17/2000
11/16/2000
5/7/2001
6/15/2001
8/22/2001
12/18/2001
3/6/2002
5/22/2002
8/20/2002
11/19/2002
3/4/2003
5/20/2003
8/19/2003
11/18/2003
3/2/2004
5/18/2004
8/17/2004
11/15/2004
3/9/2005
5/18/2005
8/18/2005
11/16/2005
3/15/2006
5/17/2006
8/16/2006
11/15/2006
3/13/2007
5/23/2007
8/22/2007
11/20/2007
3/12/2008
5/21/2008
8/20/2008
11/19/2008
3/4/2009
5/20/2009
8/19/2009
11/18/2009
3/30/2010
5/19/2010
8/18/2010
11/15/2010
5/16/2011
6/13/2011
9/12/2011
12/12/2011
4/26/2012
6/11/2012
9/10/2012
12/7/2012
4/25/2013
6/5/2013
9/12/2013
12/12/2013
5/1/2014
6/12/2014
9/10/2014
12/11/2014
4/23/2015
6/9/2015
9/10/2015
12/11/2015
