SXT
LATEST_ANNOUNCEMENT_DT
4/15/1993
7/15/1993
11/11/1993
1/17/1994
4/18/1994
7/18/1994
11/10/1994
1/18/1995
4/17/1995
7/18/1995
11/9/1995
1/16/1996
4/16/1996
7/17/1996
11/14/1996
1/20/1997
4/21/1997
7/29/1997
11/17/1997
1/26/1998
4/27/1998
7/27/1998
11/16/1998
1/25/1999
4/26/1999
7/26/1999
11/15/1999
1/24/2000
4/19/2000
11/13/2000
2/26/2001
4/19/2001
7/20/2001
10/25/2001
2/15/2002
4/22/2002
7/18/2002
10/18/2002
2/14/2003
4/17/2003
7/16/2003
10/17/2003
2/17/2004
4/19/2004
7/19/2004
10/18/2004
2/15/2005
5/5/2005
7/18/2005
10/17/2005
2/13/2006
4/21/2006
7/14/2006
10/13/2006
2/12/2007
4/20/2007
7/16/2007
10/19/2007
2/11/2008
4/21/2008
7/18/2008
10/16/2008
2/5/2009
4/20/2009
7/20/2009
11/4/2009
2/5/2010
4/19/2010
7/23/2010
10/27/2010
2/4/2011
4/18/2011
7/21/2011
10/20/2011
2/7/2012
4/20/2012
7/20/2012
10/19/2012
2/7/2013
4/18/2013
7/25/2013
10/17/2013
2/10/2014
4/14/2014
7/24/2014
10/23/2014
2/5/2015
4/20/2015
7/23/2015
10/21/2015
02/04/2016
04/20/2016
07/21/2016
10/20/2016
02/10/2017
04/18/2017
