HIW
LATEST_ANNOUNCEMENT_DT
2/16/1996
5/1/1996
7/31/1996
11/8/1996
2/19/1997
4/29/1997
7/30/1997
11/4/1997
2/27/1998
4/21/1998
7/22/1998
10/23/1998
2/18/1999
4/28/1999
7/28/1999
11/4/1999
2/24/2000
4/27/2000
8/3/2000
11/8/2000
2/21/2001
5/9/2001
8/8/2001
11/8/2001
2/20/2002
5/1/2002
8/7/2002
11/7/2002
2/25/2003
4/24/2003
7/31/2003
10/30/2003
2/24/2004
5/4/2004
11/15/2004
11/15/2004
7/6/2005
6/5/2006
9/28/2005
10/26/2005
2/27/2006
7/19/2006
9/6/2006
11/2/2006
3/1/2007
5/1/2007
8/1/2007
10/30/2007
2/12/2008
5/1/2008
7/29/2008
10/29/2008
2/11/2009
4/29/2009
7/29/2009
10/28/2009
2/10/2010
4/28/2010
7/28/2010
10/28/2010
2/9/2011
5/2/2011
7/27/2011
10/27/2011
2/7/2012
5/1/2012
7/27/2012
10/30/2012
2/12/2013
4/30/2013
7/25/2013
10/29/2013
2/10/2014
4/29/2014
7/29/2014
10/28/2014
2/10/2015
4/28/2015
8/4/2015
10/27/2015
02/09/2016
04/26/2016
08/02/2016
10/25/2016
02/07/2017
04/25/2017
