,BLTA,US,Equity,,,
BLTA,02/21/1996,14.6875,14.9375,14.625,14.9375,65400
BLTA,02/22/1996,14.9375,15.25,14.9375,15.0625,131600
BLTA,02/23/1996,15.1875,15.1875,15.0625,15.1875,28200
BLTA,02/26/1996,15.125,15.125,15,15.0625,11800
BLTA,02/27/1996,15.0625,15.25,15,15.25,70000
BLTA,02/28/1996,15.125,15.3125,15.125,15.1875,70200
BLTA,02/29/1996,15.1875,15.25,15.1875,15.25,127600
BLTA,03/01/1996,15.3125,15.3125,15.125,15.125,39200
BLTA,03/04/1996,15.0625,15.0625,15,15.0625,43400
BLTA,03/05/1996,15,15.0625,15,15,33600
BLTA,03/06/1996,15,15.0625,14.875,15.0625,184600
BLTA,03/07/1996,15.125,15.25,15.0625,15.125,24800
BLTA,03/08/1996,15.125,15.125,14.9375,14.9375,38800
BLTA,03/11/1996,15,15.25,14.9375,15.25,85800
BLTA,03/12/1996,15.25,15.3125,15,15.125,71000
BLTA,03/13/1996,15.125,15.3125,15.125,15.3125,19000
BLTA,03/14/1996,15.375,15.4375,15.3125,15.375,55600
BLTA,03/15/1996,15.4375,15.625,15.4375,15.625,114000
BLTA,03/18/1996,15.6875,16,15.6875,15.875,76600
BLTA,03/19/1996,15.9375,16,15.8125,15.9375,57600
BLTA,03/20/1996,15.9375,15.9375,15.875,15.875,18800
BLTA,03/21/1996,15.875,15.9375,15.8125,15.9375,21200
BLTA,03/22/1996,15.9375,15.9375,15.5625,15.5625,15400
BLTA,03/25/1996,15.5,15.5625,15.375,15.375,10000
BLTA,03/26/1996,15.3125,15.3125,15,15,37400
BLTA,03/27/1996,15.0625,15.125,15,15,38400
BLTA,03/28/1996,14.9375,15.3125,14.9375,15.3125,261200
BLTA,03/29/1996,15.25,15.4375,15.25,15.375,62200
BLTA,04/01/1996,15.5,15.75,15.5,15.75,91400
BLTA,04/02/1996,15.75,15.8125,15.625,15.625,74600
BLTA,04/03/1996,15.625,15.625,15.4375,15.4375,32600
BLTA,04/04/1996,15.5,15.5625,15.375,15.4375,30800
BLTA,04/08/1996,15.5,15.5,15.25,15.5,24200
BLTA,04/09/1996,15.5,15.5625,15.3125,15.3125,17800
BLTA,04/10/1996,15.4375,15.6875,15.375,15.625,41800
BLTA,04/11/1996,15.625,15.6875,15.5625,15.5625,30000
BLTA,04/12/1996,15.5,15.6875,15.375,15.625,15200
BLTA,04/15/1996,15.625,15.625,15.5,15.625,58600
BLTA,04/16/1996,15.5625,15.5625,15.375,15.5,57200
BLTA,04/17/1996,15.375,15.6875,15.375,15.625,121800
BLTA,04/18/1996,15.625,15.6875,15.5625,15.625,127800
BLTA,04/19/1996,15.5625,15.625,15.5,15.5625,56000
BLTA,04/22/1996,15.625,15.6875,15.375,15.375,20600
BLTA,04/23/1996,15.375,15.375,15.0625,15.3125,64200
BLTA,04/24/1996,15.4375,15.4375,15.125,15.125,9000
BLTA,04/25/1996,15.125,15.25,15.0625,15.125,37800
BLTA,04/26/1996,15.125,15.4375,15.125,15.4375,115400
BLTA,04/29/1996,15.4375,15.5625,15.4375,15.5,33200
BLTA,04/30/1996,15.5,15.5,15.25,15.5,121800
BLTA,05/01/1996,15.5,15.8125,15.5,15.75,70800
BLTA,05/02/1996,15.75,16,15.6875,15.75,69000
BLTA,05/03/1996,15.8125,15.9375,15.75,15.9375,135000
BLTA,05/06/1996,16,16.375,16,16.0625,29600
BLTA,05/07/1996,16.125,16.125,15.8125,15.9375,67600
BLTA,05/08/1996,15.875,15.875,15.5,15.75,12800
BLTA,05/09/1996,15.6875,16,15.625,16,34000
BLTA,05/10/1996,16,16,15.875,15.9375,43400
BLTA,05/13/1996,15.8125,15.875,15.625,15.875,32200
BLTA,05/14/1996,15.9375,15.9375,15.875,15.875,24600
BLTA,05/15/1996,15.8125,16,15.8125,15.9375,246400
BLTA,05/16/1996,15.8125,15.9375,15.8125,15.875,31000
BLTA,05/17/1996,16,16.1875,16,16.1875,16400
BLTA,05/20/1996,16.0625,16.1875,16,16.125,17400
BLTA,05/21/1996,16.125,16.1875,16.0625,16.0625,26600
BLTA,05/22/1996,16.1875,16.1875,16.0625,16.1875,64800
BLTA,05/23/1996,16.125,16.375,16.125,16.3125,134600
BLTA,05/24/1996,16.3125,16.375,16.25,16.3125,32800
BLTA,05/28/1996,16.375,16.625,16.3125,16.625,74000
BLTA,05/29/1996,16.625,16.6875,16.375,16.4375,36800
BLTA,05/30/1996,16.4375,16.6875,16.375,16.6875,103400
BLTA,05/31/1996,16.6875,16.75,16.5625,16.625,82200
BLTA,06/03/1996,16.625,16.6875,16.5,16.5,36600
BLTA,06/04/1996,16.5,16.625,16.5,16.5625,67200
BLTA,06/05/1996,16.5,16.6875,16.5,16.6875,42400
BLTA,06/06/1996,16.6875,16.75,16.625,16.75,6600
BLTA,06/07/1996,16.625,16.6875,16.5625,16.5625,46200
BLTA,06/10/1996,16.5625,16.875,16.5,16.875,199800
BLTA,06/11/1996,16.75,16.8125,16.625,16.6875,485000
BLTA,06/12/1996,16.625,16.75,16.625,16.625,8800
BLTA,06/13/1996,16.625,16.625,16.375,16.5,239400
BLTA,06/14/1996,16.5,16.5625,16.4375,16.4375,23000
BLTA,06/17/1996,16.4375,16.5,16.3125,16.3125,48800
BLTA,06/18/1996,16.3125,16.375,16.125,16.1875,68400
BLTA,06/19/1996,16.1875,16.1875,16,16.125,152400
BLTA,06/20/1996,16.0625,16.0625,15.625,15.625,22400
BLTA,06/21/1996,15.625,15.8125,15.625,15.8125,38600
BLTA,06/24/1996,15.875,16,15.8125,16,34800
BLTA,06/25/1996,16.125,16.3125,16.0625,16.1875,62400
BLTA,06/26/1996,16.25,16.25,16,16,35200
BLTA,06/27/1996,15.875,15.875,15.75,15.8125,13200
BLTA,06/28/1996,15.8125,15.8125,15.625,15.75,369800
BLTA,07/01/1996,15.8125,15.875,15.625,15.6875,9200
BLTA,07/02/1996,15.75,15.8125,15.6875,15.8125,77400
BLTA,07/03/1996,15.6875,15.8125,15.625,15.8125,18400
BLTA,07/05/1996,15.9375,15.9375,15.9375,15.9375,10600
BLTA,07/08/1996,15.875,15.9375,15.625,15.625,22600
BLTA,07/09/1996,15.6875,15.75,15.6875,15.75,7200
BLTA,07/10/1996,15.75,15.75,15.625,15.6875,3800
BLTA,07/11/1996,15.6875,15.6875,15.5,15.5,6800
BLTA,07/12/1996,15.375,15.375,15.1875,15.1875,28400
BLTA,07/15/1996,15,15.0625,14.9375,14.9375,32000
BLTA,07/16/1996,14.8125,14.875,14.4375,14.5,106000
BLTA,07/17/1996,14.625,15,14.625,14.8125,70800
BLTA,07/18/1996,14.8125,14.9375,14.8125,14.875,8000
BLTA,07/19/1996,14.875,15.0625,14.875,15,9800
BLTA,07/22/1996,15.0625,15.0625,14.9375,14.9375,8400
BLTA,07/23/1996,15.0625,15.125,14.875,14.875,38800
BLTA,07/24/1996,14.6875,15,14.5625,14.875,79600
BLTA,07/25/1996,14.875,14.875,14.8125,14.8125,27200
BLTA,07/26/1996,14.8125,14.875,14.625,14.625,33000
BLTA,07/29/1996,14.5,14.5,14.125,14.375,98400
BLTA,07/30/1996,14.5,14.5,14.375,14.4375,13600
BLTA,07/31/1996,14.4375,14.8125,14.4375,14.8125,27000
BLTA,08/01/1996,14.9375,14.9375,14.6875,14.875,18000
BLTA,08/02/1996,15,15.25,15,15.1875,93600
BLTA,08/05/1996,15.0625,15.1875,15,15.125,19000
BLTA,08/06/1996,15.25,15.375,15.125,15.1875,26400
BLTA,08/07/1996,15.3125,15.3125,15.1875,15.25,9400
BLTA,08/08/1996,15.1875,15.3125,15.1875,15.3125,5200
BLTA,08/09/1996,15.375,15.4375,15.25,15.375,28400
BLTA,08/12/1996,15.3125,15.625,15.1875,15.5,73000
BLTA,08/13/1996,15.75,16.6875,15.75,16.6875,91600
BLTA,08/14/1996,16.6875,17.0625,16.6875,16.9375,62600
BLTA,08/15/1996,17,17.1875,16.8125,17.1875,86400
BLTA,08/16/1996,17.1875,17.1875,16.875,16.875,13000
BLTA,08/19/1996,16.875,17,16.8125,16.8125,53800
BLTA,08/20/1996,16.8125,17,16.8125,17,21600
BLTA,08/21/1996,16.875,17,16.8125,16.9375,28600
BLTA,08/22/1996,16.8125,16.875,16.8125,16.8125,77200
BLTA,08/23/1996,16.8125,16.875,16.8125,16.875,9400
BLTA,08/26/1996,16.9375,17,16.9375,17,9800
BLTA,08/27/1996,16.9375,17.25,16.9375,17.25,19200
BLTA,08/28/1996,17.25,17.25,17.125,17.1875,112000
BLTA,08/29/1996,17.125,17.25,17.125,17.125,30400
BLTA,08/30/1996,17.0625,17.125,17,17.125,9000
BLTA,09/03/1996,17,17.0625,16.875,16.875,17600
BLTA,09/04/1996,16.8125,16.875,16.6875,16.875,49000
BLTA,09/05/1996,16.8125,16.8125,16.625,16.625,57400
BLTA,09/06/1996,16.625,16.625,16.5,16.5,47800
BLTA,09/09/1996,16.4375,16.5625,16.4375,16.5,18600
BLTA,09/10/1996,16.4375,16.5625,16.4375,16.5625,39600
BLTA,09/11/1996,16.5,16.5625,16.4375,16.4375,22600
BLTA,09/12/1996,16.4375,16.6875,16.4375,16.6875,27800
BLTA,09/13/1996,16.6875,16.6875,16.4375,16.5,35000
BLTA,09/16/1996,16.4375,16.5,16.3125,16.375,151400
BLTA,09/17/1996,16.5,16.5,16.4375,16.5,12000
BLTA,09/18/1996,16.5,16.625,16.5,16.5625,18000
BLTA,09/19/1996,16.5625,16.625,16.4375,16.5,72400
BLTA,09/20/1996,16.5,16.6875,16.4375,16.6875,16000
BLTA,09/23/1996,16.625,16.8125,16.625,16.75,77000
BLTA,09/24/1996,16.75,16.8125,16.6875,16.75,131400
BLTA,09/25/1996,16.625,16.6875,16.4375,16.4375,60000
BLTA,09/26/1996,16.5625,16.5625,16.125,16.125,78000
BLTA,09/27/1996,16.25,16.5,16.25,16.5,32000
BLTA,09/30/1996,16.5625,16.9375,16.5,16.8125,48000
BLTA,10/01/1996,16.75,17.0625,16.75,17.0625,29800
BLTA,10/02/1996,17.125,17.4375,17.125,17.375,40600
BLTA,10/03/1996,17.25,17.375,17.25,17.375,14200
BLTA,10/04/1996,17.375,17.4375,17,17.1875,71400
BLTA,10/07/1996,17.25,17.6875,17.25,17.6875,39200
BLTA,10/08/1996,17.6875,17.75,17.6875,17.75,19200
BLTA,10/09/1996,17.75,17.8125,17.625,17.75,57400
BLTA,10/10/1996,17.8125,17.8125,17.6875,17.6875,12000
BLTA,10/11/1996,17.8125,17.9375,17.6875,17.875,39600
BLTA,10/14/1996,17.5625,17.875,17.5625,17.875,38200
BLTA,10/15/1996,17.8125,17.875,17.5,17.5,41400
BLTA,10/16/1996,17.5,17.625,16.6875,16.75,42200
BLTA,10/17/1996,16.75,16.9375,16.75,16.9375,688600
BLTA,10/18/1996,17,17.3125,16.9375,17.0625,55200
BLTA,10/21/1996,17.125,17.25,16.9375,16.9375,23000
BLTA,10/22/1996,17,17.3125,17,17.125,54400
BLTA,10/23/1996,17,17.125,16.4375,17.125,33600
BLTA,10/24/1996,17.25,17.4375,17.125,17.125,38200
BLTA,10/25/1996,17.125,17.25,17.0625,17.1875,15800
BLTA,10/28/1996,17.0625,17.25,17.0625,17.25,76600
BLTA,10/29/1996,17.25,17.5,17.25,17.375,56600
BLTA,10/30/1996,17.5,17.5625,17.5,17.5,72200
BLTA,10/31/1996,17.5,18,17.5,18,73000
BLTA,11/01/1996,17.9375,18.125,17.9375,18.0625,25400
BLTA,11/04/1996,18.1875,18.1875,17.9375,17.9375,23000
BLTA,11/05/1996,18.0625,18.125,18,18,125000
BLTA,11/06/1996,18,18.0625,17.9375,17.9375,43200
BLTA,11/07/1996,17.9375,17.9375,17.8125,17.875,77000
BLTA,11/08/1996,17.8125,17.875,17.8125,17.875,3400
BLTA,11/11/1996,17.9375,18.125,17.9375,18.0625,35400
BLTA,11/12/1996,18.1875,18.3125,18.1875,18.25,32000
BLTA,11/13/1996,18.3125,18.3125,18.125,18.125,21400
BLTA,11/14/1996,18.125,18.125,18,18,13600
BLTA,11/15/1996,17.875,18.125,17.875,18,39600
BLTA,11/18/1996,17.9375,18,17.875,17.9375,10800
BLTA,11/19/1996,17.875,17.9375,17.8125,17.9375,17000
BLTA,11/20/1996,17.875,18,17.875,18,73800
BLTA,11/21/1996,17.9375,18,17.9375,17.9375,3200
BLTA,11/22/1996,17.875,18.125,17.875,18.0625,40600
BLTA,11/25/1996,18,18.25,18,18.25,17600
BLTA,11/26/1996,18.1875,18.4375,18.1875,18.4375,32400
BLTA,11/27/1996,18.3125,18.4375,18.3125,18.4375,10200
BLTA,11/29/1996,18.4375,18.625,18.375,18.5625,16000
BLTA,12/02/1996,18.625,18.75,18.5625,18.5625,17600
BLTA,12/03/1996,18.625,18.8125,18.625,18.6875,11000
BLTA,12/04/1996,18.6875,18.875,18.5,18.5,80200
BLTA,12/05/1996,18.5625,18.625,18.3125,18.375,26600
BLTA,12/06/1996,18.25,18.25,18,18.125,14200
BLTA,12/09/1996,18.0625,18.3125,18.0625,18.25,11000
BLTA,12/10/1996,18.125,18.1875,18,18,47200
BLTA,12/11/1996,17.9375,18.25,17.75,18.25,26800
BLTA,12/12/1996,18.3125,18.3125,18.125,18.125,19400
BLTA,12/13/1996,18.0625,18.125,18,18,14600
BLTA,12/16/1996,18.125,18.1875,18.125,18.125,12600
BLTA,12/17/1996,18.125,18.125,18,18.125,51000
BLTA,12/18/1996,18.125,18.3125,18.125,18.3125,39400
BLTA,12/19/1996,18.3125,18.75,18.3125,18.6875,21800
BLTA,12/20/1996,18.75,18.9375,18.6875,18.875,43200
BLTA,12/23/1996,18.75,18.875,18.6875,18.875,21200
BLTA,12/24/1996,18.8125,18.9375,18.8125,18.9375,9600
BLTA,12/26/1996,18.875,19.125,18.875,19,22400
BLTA,12/27/1996,19.125,19.3125,19.125,19.25,16400
BLTA,12/30/1996,19.3125,19.4375,19.25,19.25,32800
BLTA,12/31/1996,19.1875,19.3125,19.125,19.1875,18200
BLTA,01/02/1997,19.0625,19.0625,18.8125,18.8125,38400
BLTA,01/03/1997,18.875,18.9375,18.8125,18.8125,40200
BLTA,01/06/1997,19,19.1875,19,19.1875,55600
BLTA,01/07/1997,19.125,19.75,19.0625,19.75,72400
BLTA,01/08/1997,19.875,21.0625,19.875,21.0625,65200
BLTA,01/09/1997,20.9375,21.0625,20.75,21,32200
BLTA,01/10/1997,20.875,20.9375,20.875,20.875,11600
BLTA,01/13/1997,20.8125,20.9375,20.75,20.9375,15000
BLTA,01/14/1997,20.875,20.9375,20.875,20.875,20400
BLTA,01/15/1997,20.8125,21.125,20.75,21.125,13800
BLTA,01/16/1997,21.0625,21.25,21.0625,21.1875,9600
BLTA,01/17/1997,21.0625,21.1875,21.0625,21.1875,10400
BLTA,01/20/1997,21.1875,21.375,21.0625,21.3125,6200
BLTA,01/21/1997,21.25,21.3438,20.9375,21,38400
BLTA,01/22/1997,21,21.0625,20.8125,20.875,29600
BLTA,01/23/1997,20.875,20.875,20.75,20.8125,20600
BLTA,01/24/1997,20.6875,20.8125,20.1875,20.1875,39000
BLTA,01/27/1997,20.1875,20.1875,20.0625,20.0625,9800
BLTA,01/28/1997,20,20,19.5625,19.875,85200
BLTA,01/29/1997,19.875,20.375,19.875,20.25,45000
BLTA,01/30/1997,20.25,20.3125,20.1875,20.25,15200
BLTA,01/31/1997,20.3125,20.3125,20.25,20.3125,21400
BLTA,02/03/1997,20.3125,20.3125,19.75,19.75,24200
BLTA,02/04/1997,19.75,19.875,19.6875,19.8125,73200
BLTA,02/05/1997,19.75,19.75,19.75,19.75,4800
BLTA,02/06/1997,19.75,19.75,19.5,19.5625,95800
BLTA,02/07/1997,19.5,19.75,19.5,19.6875,33200
BLTA,02/10/1997,19.6875,19.875,19.5625,19.5625,29600
BLTA,02/11/1997,19.5625,19.75,19.5625,19.6875,67200
BLTA,02/12/1997,19.6875,19.875,19.6875,19.8125,12400
BLTA,02/13/1997,19.8125,20.125,19.75,20.125,38000
BLTA,02/14/1997,20.125,20.4375,20.0625,20.4375,49000
BLTA,02/18/1997,20.4375,20.875,20.4375,20.8125,66800
BLTA,02/19/1997,20.875,20.875,20.8125,20.875,26000
BLTA,02/20/1997,20.9375,20.9375,20.875,20.9375,22400
BLTA,02/21/1997,20.875,20.875,20.5625,20.6875,23600
BLTA,02/24/1997,20.625,20.9375,20.625,20.875,20000
BLTA,02/25/1997,20.8125,21,20.75,20.8125,20800
BLTA,02/26/1997,20.8125,20.9375,20.8125,20.875,19000
BLTA,02/27/1997,20.8125,20.8125,20.8125,20.8125,65600
BLTA,02/28/1997,20.875,20.875,20.75,20.875,21800
BLTA,03/03/1997,20.8125,20.875,20.8125,20.8125,16800
BLTA,03/04/1997,20.875,21.125,20.8125,21.125,48000
BLTA,03/05/1997,21.0625,21.0625,20.875,20.875,18800
BLTA,03/06/1997,20.9375,21,20.875,20.875,12600
BLTA,03/07/1997,20.875,20.9375,20.8125,20.8125,8200
BLTA,03/10/1997,20.875,21,20.875,20.9375,7200
BLTA,03/11/1997,21,21.125,20.9375,21,66200
BLTA,03/12/1997,21,21.125,21,21,112200
BLTA,03/13/1997,20.9375,20.9375,20.6875,20.6875,17600
BLTA,03/14/1997,20.6875,20.6875,20.625,20.6875,57800
BLTA,03/17/1997,20.75,20.875,20.75,20.875,19800
BLTA,03/18/1997,20.9375,21.0625,20.9375,21,53600
BLTA,03/19/1997,21.0625,21.1875,21.0625,21.0625,30600
BLTA,03/20/1997,21.125,21.5,21.0625,21.5,31600
BLTA,03/21/1997,21.375,21.625,21.25,21.25,79600
BLTA,03/24/1997,21.1875,21.4375,21.1875,21.4375,34600
BLTA,03/25/1997,21.5625,21.5625,21.3125,21.5,37400
BLTA,03/26/1997,21.5,21.5625,21.5,21.5625,21800
BLTA,03/27/1997,21.5,21.5,21.375,21.375,10800
BLTA,03/31/1997,21.375,21.375,20.625,20.625,95800
BLTA,04/01/1997,20.625,20.625,20.375,20.375,20200
BLTA,04/02/1997,20.375,20.75,20.375,20.6875,38600
BLTA,04/03/1997,20.6875,20.6875,20.4375,20.4375,19600
BLTA,04/04/1997,20.375,20.4375,20.375,20.375,4800
BLTA,04/07/1997,20.5,20.8125,20.5,20.6875,55200
BLTA,04/08/1997,20.8125,20.8125,20.75,20.75,12400
BLTA,04/09/1997,20.75,20.75,20.625,20.625,74400
BLTA,04/10/1997,20.5625,20.6875,20.25,20.25,87200
BLTA,04/11/1997,20.25,20.25,19.9375,19.9375,14400
BLTA,04/14/1997,19.875,19.875,19.75,19.75,38000
BLTA,04/15/1997,19.75,19.875,19.75,19.8125,5200
BLTA,04/16/1997,19.875,19.875,19.5625,19.625,51000
BLTA,04/17/1997,19.625,19.625,19.4375,19.4375,13200
BLTA,04/18/1997,19,19.125,19,19.125,396600
BLTA,04/21/1997,19.125,19.1875,19.0625,19.1875,15400
BLTA,04/22/1997,19.125,19.375,19.125,19.375,24400
BLTA,04/23/1997,19.4375,19.4375,19.375,19.4375,6200
BLTA,04/24/1997,19.4375,19.5,19.4375,19.5,7000
BLTA,04/25/1997,19.5625,19.75,19.5625,19.75,11600
BLTA,04/28/1997,19.6875,19.6875,19.6875,19.6875,8600
BLTA,04/29/1997,19.8125,20,19.8125,20,13800
BLTA,04/30/1997,20,20.3125,20,20.25,95000
BLTA,05/01/1997,20.1875,20.4375,20.1875,20.4375,22400
BLTA,05/02/1997,20.4375,20.5,20.4375,20.5,14200
BLTA,05/05/1997,20.5,21.125,20.5,21.125,167800
BLTA,05/06/1997,21.0625,21.25,21.0625,21.0625,24200
BLTA,05/07/1997,21,21,20.8125,20.8125,24200
BLTA,05/08/1997,20.9375,20.9375,20.8125,20.8125,8600
BLTA,05/09/1997,20.75,20.875,20.6875,20.875,8400
BLTA,05/12/1997,20.9375,20.9375,20.5,20.5,17800
BLTA,05/13/1997,20.375,20.4375,20.3125,20.375,15200
BLTA,05/14/1997,20.375,20.4375,20.1875,20.1875,11000
BLTA,05/15/1997,20.125,20.125,20.0625,20.0625,10400
BLTA,05/16/1997,19.9375,20.0625,19.9375,20.0625,31000
BLTA,05/19/1997,20,20.25,19.9375,20.25,16400
BLTA,05/20/1997,20.3125,20.375,20.3125,20.375,800
BLTA,05/21/1997,20.3125,20.5,20.3125,20.4375,1600
BLTA,05/22/1997,20.375,20.625,20.375,20.625,36000
BLTA,05/23/1997,20.5625,20.625,20.5,20.625,8000
BLTA,05/27/1997,20.625,20.625,20.125,20.125,18600
BLTA,05/28/1997,20.125,20.125,20.0625,20.0625,7200
BLTA,05/29/1997,19.9375,20.1875,19.9375,20.1875,45400
BLTA,05/30/1997,20.25,20.625,20.25,20.625,32200
BLTA,06/02/1997,20.6875,20.8125,20.5625,20.8125,25400
BLTA,06/03/1997,20.75,20.8125,20.625,20.75,28800
BLTA,06/04/1997,20.8125,21,20.75,20.9375,14200
BLTA,06/05/1997,21.0625,21.25,21.0625,21.25,10600
BLTA,06/06/1997,21.3125,22.3125,21.3125,22.3125,33400
BLTA,06/09/1997,22.3125,22.5,22.25,22.5,12200
BLTA,06/10/1997,22.5,22.75,22.5,22.6875,11000
BLTA,06/11/1997,22.6875,22.6875,22.375,22.375,90800
BLTA,06/12/1997,22.375,22.5625,22.375,22.5,5600
BLTA,06/13/1997,22.5,22.5,22.4375,22.5,51400
BLTA,06/16/1997,22.4375,22.5,22.25,22.3125,34600
BLTA,06/17/1997,22.3125,22.375,22.25,22.25,23200
BLTA,06/18/1997,22.375,22.375,22.25,22.3125,10200
BLTA,06/19/1997,22.3125,22.3125,22.125,22.1875,35600
BLTA,06/20/1997,21.6875,22.125,21.6875,22.0625,81200
BLTA,06/23/1997,22.0625,22.25,22.0625,22.1875,41600
BLTA,06/24/1997,22.3125,22.4375,22.25,22.25,30800
BLTA,06/25/1997,22.3125,22.3125,22.0625,22.1563,22200
BLTA,06/26/1997,22.0938,22.375,22.0625,22.1563,13600
BLTA,06/27/1997,22,22,21.875,21.875,11000
BLTA,06/30/1997,21.875,21.875,21.2813,21.2813,28800
BLTA,07/01/1997,21.25,21.25,20.9375,20.9688,17400
BLTA,07/02/1997,20.9688,20.9688,20.875,20.875,29200
BLTA,07/03/1997,20.875,20.9375,20.75,20.875,65800
BLTA,07/07/1997,20.9375,21.5,20.9063,21.5,63400
BLTA,07/08/1997,21.4375,21.75,21.4375,21.75,27000
BLTA,07/09/1997,21.6875,21.75,21.625,21.6875,6600
BLTA,07/10/1997,21.6875,21.9375,21.6875,21.9375,24600
BLTA,07/11/1997,22,22.4688,22,22.375,38000
BLTA,07/14/1997,22.375,23,22.375,22.875,56800
BLTA,07/15/1997,22.9375,23,22.625,22.625,89000
BLTA,07/16/1997,22.5,22.5,22.125,22.125,39400
BLTA,07/17/1997,22.25,22.9375,22.0938,22.9375,222000
BLTA,07/18/1997,22.875,22.875,22.6563,22.75,11200
BLTA,07/21/1997,22.75,22.75,22.1875,22.1875,62800
BLTA,07/22/1997,22.25,22.25,22,22,11800
BLTA,07/23/1997,22,22,21.875,21.875,22400
BLTA,07/24/1997,21.8125,21.8125,21.5625,21.5625,14200
BLTA,07/25/1997,21.5625,21.5625,21.375,21.375,131000
BLTA,07/28/1997,21.375,21.4375,21.375,21.375,30400
BLTA,07/29/1997,21.375,21.4688,21.375,21.4688,13400
BLTA,07/30/1997,21.5625,22.0625,21.5625,22.0625,49600
BLTA,07/31/1997,22.1875,22.375,22.125,22.375,92000
BLTA,08/01/1997,22.4375,22.4375,22.2813,22.3125,45200
BLTA,08/04/1997,22.4375,22.5625,22.2813,22.5625,31400
BLTA,08/05/1997,22.75,23.25,22.6875,23.2188,110000
BLTA,08/06/1997,23.125,23.375,23.0625,23.3125,40600
BLTA,08/07/1997,23.3125,23.3125,23.1875,23.2813,54800
BLTA,08/08/1997,23.1563,23.1563,22.8438,22.8438,10400
BLTA,08/11/1997,22.7188,22.9063,22.6563,22.8125,38400
BLTA,08/12/1997,22.8438,22.8438,22.5,22.5,25800
BLTA,08/13/1997,22.4688,22.5,22.25,22.25,38000
BLTA,08/14/1997,22.25,22.25,22,22,32800
BLTA,08/15/1997,22,22.1875,22,22.1875,10400
BLTA,08/18/1997,22.25,22.2813,22.0938,22.125,5400
BLTA,08/19/1997,22.125,22.125,21.75,21.8438,27400
BLTA,08/20/1997,21.9688,22.8125,21.9688,22.8125,45600
BLTA,08/21/1997,22.875,22.9375,22.8125,22.8438,11800
BLTA,08/22/1997,22.75,23.25,22.75,23.25,15200
BLTA,08/25/1997,23.25,23.25,23,23,16200
BLTA,08/26/1997,22.8125,22.9375,22.8125,22.9375,77800
BLTA,08/27/1997,22.9063,22.9688,22.9063,22.9375,1200
BLTA,08/28/1997,22.9375,23.0313,22.7813,23.0313,19200
BLTA,08/29/1997,23,23.625,22.9063,23.4688,29800
BLTA,09/02/1997,23.3438,23.9375,23.3438,23.9063,11200
BLTA,09/03/1997,23.8125,23.8125,23.5938,23.6563,9600
BLTA,09/04/1997,23.6563,23.6563,23.5313,23.5313,12000
BLTA,09/05/1997,23.5,23.5,22.9375,22.9375,31000
BLTA,09/08/1997,23,23.0313,22.8125,22.8438,39400
BLTA,09/09/1997,22.9375,22.9688,22.75,22.8125,14800
BLTA,09/10/1997,22.8125,22.9375,22.7813,22.7813,38400
BLTA,09/11/1997,22.6563,22.6875,22.4688,22.5,7400
BLTA,09/12/1997,22.4375,22.4375,22.375,22.4375,13200
