,BLTA,US,Equity,,,
,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
,01/02/1996,13.1875,13.1875,12.75,12.9375,81200
BLTA,01/03/1996,12.9375,13.1875,12.6875,12.875,62200
BLTA,01/04/1996,12.875,12.875,12.6875,12.75,23000
BLTA,01/05/1996,12.8125,13,12.8125,13,57800
BLTA,01/08/1996,12.875,13,12.8125,13,69800
BLTA,01/09/1996,13.0625,13.0625,12.875,12.875,33400
BLTA,01/10/1996,12.9375,13,12.875,13,8200
BLTA,01/11/1996,12.9375,12.9375,12.75,12.75,42000
BLTA,01/12/1996,12.875,13.25,12.8125,13.125,94200
BLTA,01/15/1996,13.125,13.3125,13.125,13.25,23200
BLTA,01/16/1996,13.3125,13.4375,13.25,13.375,83000
BLTA,01/17/1996,13.375,13.375,13.25,13.3125,9200
BLTA,01/18/1996,13.0625,13.0625,12.9375,13.0625,32800
BLTA,01/19/1996,13.0625,13.0625,12.9375,13,37600
BLTA,01/22/1996,13,13.0625,13,13,78000
BLTA,01/23/1996,13,13.25,13,13.25,23000
BLTA,01/24/1996,13.25,13.375,13.1875,13.3125,112400
BLTA,01/25/1996,13.3125,13.3125,13.125,13.3125,246000
BLTA,01/26/1996,13.3125,13.3125,13.25,13.3125,65400
BLTA,01/29/1996,13.25,13.5,13.25,13.5,116000
BLTA,01/30/1996,13.5,14,13.5,13.75,60200
BLTA,01/31/1996,14.25,14.5625,14,14,152000
BLTA,02/01/1996,14.1875,14.875,14.1875,14.875,57800
BLTA,02/02/1996,14.875,15.125,14.875,15,61800
BLTA,02/05/1996,15,15,14.625,14.625,50200
BLTA,02/06/1996,14.5625,14.6875,14.5,14.625,76400
BLTA,02/07/1996,14.625,14.6875,14.5,14.5625,50200
BLTA,02/08/1996,14.5625,14.625,14.5,14.5,21400
BLTA,02/09/1996,14.5,14.625,14.5,14.5625,11200
BLTA,02/12/1996,14.5625,14.6875,14.4375,14.4375,20600
BLTA,02/13/1996,14.4375,14.5,14.375,14.5,53800
BLTA,02/14/1996,14.5,14.6875,14.5,14.5625,46400
BLTA,02/15/1996,14.5625,14.6875,14.5625,14.6875,27600
BLTA,02/16/1996,14.6875,14.6875,14.4375,14.5,56200
BLTA,02/20/1996,14.4375,14.6875,14.4375,14.5625,111400
