CATT
LATEST_ANNOUNCEMENT_DT
3/30/1999
4/14/1999
7/14/1999
11/2/1999
1/25/2000
4/25/2000
7/25/2000
11/7/2000
1/18/2001
4/19/2001
7/19/2001
11/1/2001
1/24/2002
4/25/2002
7/16/2002
10/31/2002
1/23/2003
4/17/2003
7/24/2003
10/30/2003
1/29/2004
4/15/2004
7/22/2004
10/28/2004
1/27/2005
4/21/2005
7/28/2005
11/3/2005
1/30/2006
4/27/2006
7/27/2006
12/6/2006
2/1/2007
4/26/2007
7/26/2007
11/8/2007
2/7/2008
4/24/2008
7/24/2008
11/6/2008
2/5/2009
4/23/2009
