WYPT
LATEST_ANNOUNCEMENT_DT
4/19/2001
7/20/2001
10/18/2001
1/17/2002
4/18/2002
7/19/2002
10/17/2002
1/23/2003
4/17/2003
7/17/2003
10/23/2003
1/22/2004
4/22/2004
7/22/2004
10/21/2004
