HAYN
LATEST_ANNOUNCEMENT_DT
2/13/1997
5/15/1997
6/19/2006
12/22/1997
2/13/1998
5/15/1998
8/14/1998
12/22/1998
2/16/1999
5/14/1999
8/13/1999
12/29/1999
2/14/2000
5/15/2000
8/14/2000
12/28/2000
2/14/2001
5/14/2001
8/14/2001
12/27/2001
2/13/2002
5/15/2002
8/14/2002
12/20/2002
2/14/2003
5/15/2003
8/14/2003
12/29/2003
2/17/2004
8/24/2005
2/14/2006
5/15/2006
8/14/2006
12/5/2006
2/5/2007
5/7/2007
8/6/2007
12/12/2007
2/7/2008
5/8/2008
8/6/2008
11/24/2008
2/9/2009
5/7/2009
8/6/2009
11/23/2009
2/8/2010
5/6/2010
8/5/2010
11/18/2010
2/3/2011
5/5/2011
8/4/2011
11/17/2011
2/2/2012
5/3/2012
8/2/2012
11/15/2012
1/31/2013
5/2/2013
8/8/2013
11/21/2013
2/6/2014
5/8/2014
8/7/2014
11/20/2014
2/5/2015
5/7/2015
8/6/2015
11/19/2015
2/4/2016
05/05/2016
08/04/2016
11/17/2016
02/02/2017
05/04/2017
