BBOX
LATEST_ANNOUNCEMENT_DT
5/8/1996
7/11/1996
10/10/1996
1/9/1997
5/7/1997
5/6/1998
7/9/1998
10/15/1998
1/14/1999
5/5/1999
7/15/1999
10/14/1999
1/13/2000
5/10/2000
7/13/2000
10/12/2000
1/11/2001
5/9/2001
7/24/2001
10/16/2001
1/15/2002
5/14/2002
7/16/2002
10/15/2002
1/14/2003
5/7/2003
7/22/2003
10/21/2003
1/20/2004
5/19/2004
7/27/2004
10/26/2004
2/1/2005
5/26/2005
7/28/2005
11/1/2005
1/31/2006
6/1/2006
8/1/2006
10/31/2006
2/12/2007
6/28/2007
8/14/2007
10/30/2007
1/29/2008
5/22/2008
7/29/2008
10/28/2008
1/27/2009
5/21/2009
7/28/2009
10/27/2009
1/26/2010
5/13/2010
8/3/2010
11/2/2010
2/1/2011
5/12/2011
8/2/2011
11/1/2011
1/31/2012
5/10/2012
7/31/2012
10/30/2012
1/29/2013
5/9/2013
7/30/2013
10/29/2013
1/28/2014
5/8/2014
7/29/2014
10/28/2014
1/27/2015
5/7/2015
7/28/2015
10/27/2015
1/26/2016
05/10/2016
08/02/2016
11/01/2016
1/31/2017
