FBP
LATEST_ANNOUNCEMENT_DT
4/8/1996
7/17/1996
10/8/1996
1/14/1997
4/10/1997
7/10/1997
10/8/1997
1/8/1998
4/7/1998
7/15/1998
10/13/1998
1/13/1999
4/12/1999
7/8/1999
10/14/1999
1/13/2000
4/12/2000
7/13/2000
10/11/2000
1/16/2001
4/16/2001
7/12/2001
10/16/2001
1/15/2002
4/17/2002
7/16/2002
10/16/2002
1/16/2003
4/15/2003
7/16/2003
10/20/2003
1/21/2004
4/22/2004
7/22/2004
10/21/2004
1/27/2005
4/19/2005
8/20/2007
8/20/2007
2/9/2007
8/20/2007
8/20/2007
8/20/2007
7/9/2007
9/24/2007
9/24/2007
11/6/2007
2/6/2008
5/6/2008
7/23/2008
10/27/2008
2/3/2009
4/27/2009
7/30/2009
10/30/2009
2/1/2010
4/27/2010
7/27/2010
10/21/2010
2/9/2011
5/6/2011
8/8/2011
10/26/2011
2/1/2012
5/7/2012
7/31/2012
10/31/2012
2/5/2013
5/3/2013
7/24/2013
10/23/2013
2/3/2014
4/24/2014
7/29/2014
10/27/2014
2/5/2015
5/4/2015
7/29/2015
10/26/2015
1/28/2016
04/25/2016
07/26/2016
10/25/2016
01/26/2017
04/24/2017
