CKP
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/22/1996
10/23/1996
2/6/1997
4/21/1997
7/22/1997
10/23/1997
4/21/1998
7/22/1998
10/22/1998
2/4/1999
4/29/1999
7/20/1999
10/20/1999
2/29/2000
4/27/2000
8/1/2000
10/26/2000
2/22/2001
5/1/2001
7/24/2001
10/30/2001
2/12/2002
4/23/2002
7/23/2002
10/22/2002
2/6/2003
4/22/2003
7/22/2003
10/23/2003
2/10/2004
4/21/2004
7/27/2004
10/26/2004
3/8/2005
4/26/2005
8/2/2005
11/4/2005
3/2/2006
5/2/2006
7/27/2006
10/31/2006
3/30/2007
5/3/2007
8/2/2007
11/1/2007
2/27/2008
5/7/2008
8/5/2008
11/5/2008
2/26/2009
5/7/2009
8/6/2009
11/4/2009
2/23/2010
5/4/2010
7/29/2010
11/2/2010
2/22/2011
5/3/2011
8/2/2011
11/1/2011
2/23/2012
5/3/2012
8/2/2012
11/1/2012
3/5/2013
5/7/2013
8/6/2013
11/6/2013
3/31/2014
5/5/2014
8/4/2014
11/3/2014
3/5/2015
5/6/2015
8/3/2015
11/3/2015
3/3/2016
05/18/2016
