HTCH
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/15/1996
11/4/1996
1/20/1997
4/21/1997
7/21/1997
11/4/1997
1/20/1998
4/21/1998
7/21/1998
11/3/1998
1/6/1999
4/20/1999
7/20/1999
11/2/1999
1/18/2000
4/18/2000
7/19/2000
10/31/2000
1/16/2001
4/17/2001
7/17/2001
11/6/2001
1/22/2002
4/23/2002
7/23/2002
11/4/2002
1/21/2003
4/22/2003
7/22/2003
11/3/2003
1/20/2004
4/22/2004
7/22/2004
11/1/2004
2/3/2005
4/21/2005
7/21/2005
11/1/2005
1/18/2006
4/20/2006
7/20/2006
11/2/2006
1/24/2007
4/24/2007
7/31/2007
11/8/2007
1/29/2008
4/29/2008
7/29/2008
11/6/2008
1/27/2009
4/28/2009
7/30/2009
11/2/2009
1/26/2010
4/27/2010
7/27/2010
11/1/2010
1/25/2011
4/26/2011
7/26/2011
11/1/2011
1/24/2012
4/24/2012
7/26/2012
11/8/2012
1/29/2013
4/30/2013
7/25/2013
10/31/2013
1/28/2014
5/1/2014
8/1/2014
11/5/2014
1/28/2015
4/30/2015
7/30/2015
11/2/2015
1/25/2016
