BTH
LATEST_ANNOUNCEMENT_DT
5/30/1996
8/23/1996
12/13/1996
3/13/1997
6/3/1997
9/3/1997
12/2/1997
3/26/1998
6/5/1998
9/2/1998
12/3/1998
3/25/1999
5/27/1999
9/1/1999
12/2/1999
3/16/2000
5/25/2000
8/30/2000
11/30/2000
5/1/2001
5/24/2001
8/29/2001
11/29/2001
3/14/2002
6/4/2002
8/28/2002
12/4/2002
3/18/2003
6/3/2003
8/27/2003
12/4/2003
3/15/2004
6/7/2004
8/25/2004
11/30/2004
3/9/2005
5/25/2005
8/24/2005
12/12/2005
3/30/2006
6/2/2006
8/31/2006
12/6/2006
4/4/2007
5/31/2007
8/30/2007
12/5/2007
4/4/2008
6/5/2008
9/4/2008
12/5/2008
4/3/2009
6/8/2009
9/2/2009
12/7/2009
4/9/2010
6/4/2010
9/2/2010
12/3/2010
4/8/2011
5/4/2012
8/3/2012
11/6/2012
3/14/2013
5/8/2013
8/2/2013
11/1/2013
3/14/2014
5/2/2014
8/1/2014
10/31/2014
3/16/2015
5/5/2015
8/6/2015
