DAP
LATEST_ANNOUNCEMENT_DT
3/18/1996
7/9/1996
9/24/1996
12/17/1996
4/17/1997
7/29/1997
9/18/1997
12/19/1997
3/24/1998
7/6/1998
9/15/1998
12/15/1998
3/23/1999
7/7/1999
9/21/1999
12/15/1999
3/20/2000
7/12/2000
9/29/2000
12/19/2000
3/20/2001
7/20/2001
9/18/2001
