VIAV
LATEST_ANNOUNCEMENT_DT
4/16/1996
8/8/1996
10/22/1996
1/16/1997
4/15/1997
8/21/1997
10/20/1997
1/20/1998
4/21/1998
8/5/1998
10/28/1998
1/25/1999
4/26/1999
7/26/1999
10/28/1999
1/26/2000
4/25/2000
7/26/2000
10/26/2000
1/25/2001
4/23/2001
7/26/2001
10/25/2001
1/24/2002
4/25/2002
7/25/2002
10/24/2002
1/23/2003
4/29/2003
7/24/2003
10/23/2003
1/28/2004
4/28/2004
7/28/2004
10/27/2004
1/26/2005
4/27/2005
9/1/2005
11/10/2005
2/1/2006
5/3/2006
8/30/2006
11/2/2006
1/31/2007
5/2/2007
8/22/2007
10/31/2007
2/5/2008
4/30/2008
8/20/2008
10/29/2008
2/5/2009
4/29/2009
8/19/2009
11/5/2009
2/2/2010
5/5/2010
8/25/2010
11/4/2010
2/3/2011
5/4/2011
8/17/2011
11/1/2011
2/1/2012
5/2/2012
8/14/2012
10/30/2012
1/30/2013
5/1/2013
8/13/2013
10/30/2013
1/30/2014
4/30/2014
8/12/2014
10/29/2014
1/29/2015
4/30/2015
8/11/2015
11/2/2015
2/2/2016
05/03/2016
08/11/2016
11/01/2016
01/31/2017
05/02/2017
