AAT
LATEST_ANNOUNCEMENT_DT
1/5/2011
3/30/2011
5/10/2011
8/9/2011
11/8/2011
3/6/2012
5/1/2012
8/1/2012
11/6/2012
2/19/2013
4/30/2013
7/30/2013
11/5/2013
2/18/2014
4/29/2014
7/29/2014
11/4/2014
2/17/2015
4/28/2015
7/28/2015
11/3/2015
2/16/2016
04/26/2016
07/26/2016
11/01/2016
02/14/2017
04/25/2017
