3482Q
LATEST_ANNOUNCEMENT_DT
5/13/1996
8/12/1996
11/13/1996
2/27/1997
5/19/1997
8/12/1997
11/12/1997
3/2/1998
5/12/1998
8/12/1998
11/18/1998
3/9/1999
5/11/1999
8/18/1999
