RTEX
LATEST_ANNOUNCEMENT_DT
5/7/1996
8/8/1996
11/7/1996
2/5/1997
5/6/1997
8/4/1997
11/4/1997
2/4/1998
5/6/1998
8/5/1998
10/19/1998
1/26/1999
4/27/1999
7/27/1999
10/26/1999
