ZLOGQ
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/16/1996
10/14/1996
1/23/1997
4/21/1997
7/21/1997
10/21/1997
1/20/1998
4/22/1998
7/22/1998
10/21/1998
1/20/1999
4/21/1999
7/21/1999
10/20/1999
3/30/2000
4/2/2001
4/12/2002
