WEN
LATEST_ANNOUNCEMENT_DT
5/2/1996
8/12/1996
11/13/1996
3/31/1997
5/8/1997
8/18/1997
10/23/1997
3/11/1998
4/30/1998
7/28/1998
11/3/1998
4/5/1999
5/18/1999
8/19/1999
11/18/1999
3/16/2000
5/8/2000
8/10/2000
11/20/2000
2/9/2001
5/15/2001
8/14/2001
11/13/2001
3/27/2002
5/15/2002
8/14/2002
11/12/2002
3/27/2003
5/12/2003
8/11/2003
11/11/2003
3/11/2004
5/6/2004
8/6/2004
11/5/2004
3/18/2005
5/12/2005
8/11/2005
11/11/2005
4/3/2006
5/12/2006
8/11/2006
11/13/2006
3/1/2007
5/11/2007
8/10/2007
11/9/2007
2/29/2008
5/9/2008
8/5/2008
11/6/2008
3/2/2009
5/7/2009
8/6/2009
11/5/2009
3/4/2010
5/13/2010
8/12/2010
11/12/2010
1/26/2011
5/10/2011
8/11/2011
11/9/2011
1/30/2012
5/8/2012
8/9/2012
11/8/2012
1/16/2013
5/8/2013
7/23/2013
11/7/2013
2/27/2014
5/8/2014
8/7/2014
11/6/2014
2/3/2015
5/6/2015
8/5/2015
11/4/2015
2/9/2016
05/11/2016
08/10/2016
11/09/2016
02/16/2017
05/10/2017
