HSC
LATEST_ANNOUNCEMENT_DT
4/19/1996
7/22/1996
10/16/1996
1/30/1997
4/16/1997
7/17/1997
10/16/1997
1/29/1998
4/16/1998
7/16/1998
10/15/1998
1/28/1999
4/15/1999
7/15/1999
10/14/1999
1/27/2000
4/13/2000
7/19/2000
10/24/2000
1/30/2001
4/19/2001
7/17/2001
10/18/2001
1/31/2002
4/23/2002
7/18/2002
10/24/2002
1/30/2003
4/24/2003
7/24/2003
10/23/2003
1/29/2004
4/22/2004
7/27/2004
10/21/2004
1/31/2005
4/21/2005
7/26/2005
10/20/2005
1/31/2006
4/24/2006
7/27/2006
10/26/2006
1/31/2007
4/23/2007
7/26/2007
10/24/2007
1/31/2008
4/22/2008
7/29/2008
10/30/2008
1/29/2009
4/23/2009
7/28/2009
10/29/2009
1/28/2010
4/29/2010
7/29/2010
10/28/2010
1/27/2011
4/28/2011
7/28/2011
10/27/2011
1/26/2012
5/2/2012
7/31/2012
11/1/2012
2/14/2013
5/9/2013
8/8/2013
11/7/2013
2/20/2014
5/8/2014
8/7/2014
11/6/2014
2/26/2015
5/6/2015
8/5/2015
11/9/2015
2/26/2016
05/04/2016
08/04/2016
11/03/2016
02/24/2017
05/03/2017
