STL
LATEST_ANNOUNCEMENT_DT
1/22/1999
4/21/1999
7/22/1999
10/28/1999
1/21/2000
4/20/2000
7/21/2000
10/27/2000
1/22/2001
4/20/2001
7/25/2001
10/26/2001
1/24/2002
4/22/2002
7/23/2002
10/25/2002
1/23/2003
5/15/2003
7/24/2003
10/23/2003
1/23/2004
4/22/2004
7/22/2004
10/25/2004
1/21/2005
4/25/2005
7/25/2005
10/25/2005
1/23/2006
4/25/2006
7/25/2006
10/30/2006
1/29/2007
4/25/2007
7/24/2007
10/29/2007
1/28/2008
4/25/2008
7/28/2008
10/23/2008
1/15/2009
4/20/2009
7/16/2009
10/23/2009
1/20/2010
4/20/2010
7/26/2010
10/26/2010
1/25/2011
4/25/2011
7/25/2011
10/31/2011
1/23/2012
4/23/2012
7/23/2012
10/29/2012
1/23/2013
4/22/2013
7/23/2013
10/29/2013
2/4/2014
4/30/2014
7/28/2014
10/27/2014
4/29/2015
7/27/2015
10/26/2015
1/27/2016
04/26/2016
07/26/2016
10/25/2016
01/24/2017
04/25/2017
