RAX
LATEST_ANNOUNCEMENT_DT
8/5/2008
8/5/2008
9/11/2008
11/10/2008
2/19/2009
5/11/2009
8/10/2009
11/9/2009
2/16/2010
5/3/2010
8/9/2010
11/8/2010
2/10/2011
5/9/2011
8/4/2011
11/7/2011
2/13/2012
5/7/2012
8/7/2012
11/6/2012
2/12/2013
5/8/2013
8/8/2013
11/11/2013
2/10/2014
5/12/2014
8/11/2014
11/10/2014
2/17/2015
5/11/2015
8/10/2015
11/09/2015
02/16/2016
05/09/2016
08/08/2016
11/14/2016
