DGIT
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/17/1996
10/17/1996
1/29/1997
4/16/1997
7/16/1997
10/22/1997
2/11/1998
4/27/1998
7/21/1998
10/21/1998
2/10/1999
5/18/1999
8/16/1999
11/12/1999
3/3/2000
5/11/2000
8/9/2000
11/8/2000
2/15/2001
5/8/2001
8/8/2001
11/9/2001
2/14/2002
5/10/2002
8/9/2002
11/8/2002
2/14/2003
5/9/2003
8/11/2003
11/19/2003
2/13/2004
5/6/2004
8/5/2004
11/5/2004
2/17/2005
5/9/2005
8/3/2005
11/3/2005
2/17/2006
5/12/2006
8/9/2006
11/9/2006
3/26/2007
5/7/2007
8/9/2007
11/12/2007
2/19/2008
5/8/2008
8/7/2008
11/6/2008
2/12/2009
5/7/2009
8/6/2009
11/5/2009
2/16/2010
5/5/2010
8/4/2010
11/4/2010
2/15/2011
5/5/2011
8/8/2011
11/9/2011
2/15/2012
5/9/2012
8/9/2012
11/8/2012
2/19/2013
5/7/2013
8/6/2013
11/6/2013
2/18/2014
