HRH
LATEST_ANNOUNCEMENT_DT
4/16/1996
7/17/1996
10/15/1996
2/13/1997
4/11/1997
7/11/1997
10/15/1997
2/12/1998
4/16/1998
7/15/1998
10/14/1998
2/11/1999
4/14/1999
7/28/1999
10/20/1999
2/17/2000
4/19/2000
7/21/2000
10/24/2000
2/15/2001
4/19/2001
7/17/2001
10/18/2001
2/14/2002
4/18/2002
7/23/2002
10/22/2002
2/12/2003
4/16/2003
7/21/2003
10/20/2003
2/11/2004
4/21/2004
7/21/2004
10/26/2004
2/23/2005
4/27/2005
7/27/2005
10/27/2005
2/22/2006
4/27/2006
7/26/2006
10/25/2006
2/21/2007
4/24/2007
7/25/2007
10/25/2007
2/25/2008
4/23/2008
7/30/2008
