3601921Q
LATEST_ANNOUNCEMENT_DT
11/4/1996
2/3/1997
5/12/1997
8/4/1997
11/3/1997
2/3/1998
5/13/1998
8/4/1998
11/2/1998
2/2/1999
5/18/1999
8/4/1999
11/2/1999
1/31/2000
5/17/2000
8/8/2000
11/9/2000
2/8/2001
5/29/2001
8/7/2001
11/5/2001
1/29/2002
5/15/2002
7/24/2002
10/28/2002
1/28/2003
5/6/2003
7/23/2003
10/27/2003
1/27/2004
