MCRI
LATEST_ANNOUNCEMENT_DT
4/29/1996
7/30/1996
10/28/1996
2/27/1997
4/29/1997
7/28/1997
10/30/1997
2/24/1998
4/29/1998
7/28/1998
11/2/1998
2/28/1999
5/5/1999
7/29/1999
10/28/1999
2/22/2000
4/27/2000
7/31/2000
10/27/2000
2/22/2001
4/30/2001
8/6/2001
10/30/2001
2/25/2002
4/29/2002
7/25/2002
10/28/2002
2/20/2003
4/30/2003
7/29/2003
10/29/2003
2/17/2004
4/26/2004
7/26/2004
10/25/2004
2/15/2005
4/26/2005
7/28/2005
10/25/2005
2/20/2006
4/26/2006
7/26/2006
10/25/2006
2/20/2007
4/25/2007
7/25/2007
10/24/2007
2/20/2008
4/23/2008
7/23/2008
10/22/2008
2/26/2009
5/11/2009
7/22/2009
10/21/2009
2/25/2010
4/21/2010
7/21/2010
10/20/2010
2/25/2011
4/21/2011
7/21/2011
10/19/2011
2/23/2012
4/18/2012
7/26/2012
10/22/2012
2/28/2013
4/25/2013
7/24/2013
10/22/2013
2/26/2014
4/23/2014
7/24/2014
10/22/2014
2/25/2015
4/22/2015
7/22/2015
10/22/2015
2/24/2016
4/24/2016
07/27/2016
10/27/2016
02/22/2017
04/19/2017
