TLXN
LATEST_ANNOUNCEMENT_DT
5/21/1996
7/17/1996
10/18/1996
1/23/1997
5/20/1997
7/22/1997
10/20/1997
1/20/1998
5/18/1998
7/20/1998
10/20/1998
2/23/1999
7/14/1999
8/9/1999
11/2/1999
1/18/2000
5/23/2000
7/26/2000
11/2/2000
