NTHWQ
LATEST_ANNOUNCEMENT_DT
5/1/1996
8/7/1996
10/25/1996
2/5/1997
5/2/1997
8/8/1997
10/30/1997
2/4/1998
4/30/1998
8/5/1998
10/26/1998
2/3/1999
5/3/1999
8/4/1999
11/1/1999
2/2/2000
5/3/2000
8/2/2000
10/30/2000
2/8/2001
5/3/2001
8/2/2001
11/6/2001
2/7/2002
4/30/2002
8/8/2002
11/7/2002
4/16/2003
5/15/2003
8/14/2003
11/14/2003
5/7/2004
