RFH
LATEST_ANNOUNCEMENT_DT
10/30/1996
1/22/1997
6/18/1997
8/12/1997
11/5/1997
1/28/1998
6/16/1998
8/19/1998
11/18/1998
2/3/1999
6/16/1999
8/13/1999
