IAAI
LATEST_ANNOUNCEMENT_DT
5/1/1996
7/26/1996
10/30/1996
2/18/1997
4/30/1997
7/30/1997
10/29/1997
2/18/1998
4/22/1998
7/22/1998
10/28/1998
2/18/1999
4/28/1999
7/28/1999
10/27/1999
2/15/2000
4/26/2000
7/26/2000
10/24/2000
3/28/2001
5/11/2001
7/27/2001
11/2/2001
3/1/2002
5/3/2002
7/26/2002
10/25/2002
2/28/2003
4/24/2003
7/25/2003
10/24/2003
2/27/2004
4/23/2004
7/27/2004
10/22/2004
3/14/2005
4/28/2005
11/9/2005
5/10/2006
8/9/2006
1/8/2007
4/2/2007
