WAFD
LATEST_ANNOUNCEMENT_DT
4/9/1996
7/8/1996
10/21/1996
1/14/1997
4/14/1997
7/9/1997
10/20/1997
1/12/1998
4/13/1998
7/13/1998
10/21/1998
1/12/1999
4/13/1999
7/13/1999
10/20/1999
1/11/2000
4/11/2000
7/11/2000
10/20/2000
1/11/2001
4/16/2001
7/12/2001
10/23/2001
1/14/2002
4/17/2002
7/17/2002
10/22/2002
1/15/2003
4/17/2003
7/16/2003
10/21/2003
1/14/2004
4/15/2004
7/15/2004
10/21/2004
1/13/2005
4/20/2005
7/15/2005
10/25/2005
1/12/2006
4/13/2006
7/13/2006
10/19/2006
1/12/2007
4/27/2007
7/16/2007
10/18/2007
1/8/2008
4/14/2008
7/21/2008
10/17/2008
1/19/2009
4/17/2009
7/23/2009
10/22/2009
1/19/2010
4/15/2010
7/19/2010
10/21/2010
1/13/2011
4/14/2011
7/14/2011
10/20/2011
1/11/2012
4/12/2012
7/12/2012
10/18/2012
1/15/2013
4/16/2013
7/18/2013
10/15/2013
1/14/2014
4/15/2014
7/15/2014
10/22/2014
1/14/2015
4/15/2015
7/15/2015
10/21/2015
1/19/2016
4/14/2016
07/20/2016
10/19/2016
01/17/2017
04/21/2017
