MTRX
LATEST_ANNOUNCEMENT_DT
4/12/1996
7/29/1996
10/14/1996
1/14/1997
4/15/1997
7/31/1997
10/15/1997
1/14/1998
4/15/1998
1/11/1999
4/8/1999
8/20/1999
10/6/1999
1/13/2000
4/13/2000
8/9/2000
10/12/2000
1/10/2001
4/10/2001
8/14/2001
10/8/2001
1/11/2002
4/11/2002
8/15/2002
10/10/2002
1/9/2003
4/10/2003
8/7/2003
10/9/2003
1/8/2004
4/8/2004
8/12/2004
10/7/2004
1/6/2005
4/11/2005
8/15/2005
10/6/2005
1/5/2006
4/6/2006
8/3/2006
10/5/2006
1/4/2007
4/5/2007
8/14/2007
10/4/2007
1/9/2008
4/3/2008
8/5/2008
10/2/2008
1/8/2009
4/9/2009
8/4/2009
11/3/2009
2/4/2010
5/7/2010
9/28/2010
11/5/2010
2/7/2011
5/3/2011
9/7/2011
11/2/2011
2/8/2012
5/7/2012
9/5/2012
11/8/2012
2/6/2013
5/8/2013
9/3/2013
11/7/2013
2/5/2014
5/8/2014
9/3/2014
11/5/2014
2/4/2015
5/7/2015
8/31/2015
11/4/2015
2/3/2016
05/04/2016
08/30/2016
11/07/2016
02/08/2017
05/03/2017
