OZRK
LATEST_ANNOUNCEMENT_DT
12/31/1996
10/16/1997
1/16/1998
4/15/1998
7/16/1998
10/15/1998
1/14/1999
4/7/1999
7/13/1999
10/12/1999
1/12/2000
4/13/2000
7/13/2000
10/9/2000
1/11/2001
4/11/2001
7/12/2001
10/10/2001
1/10/2002
4/11/2002
7/11/2002
10/10/2002
1/9/2003
4/10/2003
7/10/2003
10/9/2003
1/13/2004
4/13/2004
7/13/2004
10/12/2004
1/12/2005
4/13/2005
7/12/2005
10/12/2005
1/17/2006
4/12/2006
7/13/2006
10/12/2006
1/16/2007
4/11/2007
7/12/2007
10/11/2007
1/15/2008
4/10/2008
7/10/2008
10/14/2008
1/15/2009
4/13/2009
7/13/2009
10/13/2009
1/14/2010
4/28/2010
7/12/2010
10/13/2010
1/24/2011
4/13/2011
7/13/2011
10/12/2011
1/17/2012
4/12/2012
7/12/2012
10/11/2012
1/16/2013
4/11/2013
7/11/2013
10/10/2013
1/16/2014
4/14/2014
7/14/2014
10/14/2014
1/15/2015
4/13/2015
7/13/2015
10/13/2015
1/14/2016
4/11/2016
07/11/2016
10/11/2016
01/17/2017
04/10/2017
