RVSIQ
LATEST_ANNOUNCEMENT_DT
4/30/1996
7/30/1996
12/10/1996
1/30/1997
5/1/1997
7/31/1997
12/10/1997
2/3/1998
4/30/1998
7/30/1998
12/10/1998
2/11/1999
5/14/1999
8/3/1999
11/4/1999
1/27/2000
4/26/2000
7/25/2000
11/2/2000
1/31/2001
5/21/2001
8/7/2001
12/20/2001
2/7/2002
5/7/2002
8/13/2002
1/14/2003
2/19/2003
5/20/2003
8/5/2003
12/22/2003
2/13/2004
4/29/2004
8/3/2004
