UBSI
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/19/1996
10/18/1996
1/17/1997
4/16/1997
7/18/1997
10/20/1997
1/21/1998
4/17/1998
7/21/1998
10/20/1998
1/20/1999
4/20/1999
7/19/1999
10/18/1999
1/21/2000
4/20/2000
7/20/2000
10/19/2000
1/22/2001
4/20/2001
7/18/2001
10/22/2001
1/22/2002
4/18/2002
7/19/2002
10/21/2002
1/21/2003
4/17/2003
7/18/2003
10/21/2003
1/21/2004
4/20/2004
7/20/2004
10/19/2004
1/25/2005
4/25/2005
7/26/2005
10/26/2005
1/26/2006
4/26/2006
7/26/2006
10/26/2006
1/25/2007
5/1/2007
7/26/2007
10/25/2007
1/24/2008
4/24/2008
7/24/2008
10/23/2008
1/27/2009
4/23/2009
7/23/2009
10/26/2009
1/27/2010
4/26/2010
7/23/2010
10/26/2010
1/25/2011
4/26/2011
7/25/2011
10/25/2011
1/26/2012
4/26/2012
7/26/2012
10/25/2012
1/29/2013
4/25/2013
7/25/2013
10/29/2013
1/30/2014
4/29/2014
7/29/2014
10/29/2014
1/29/2015
4/28/2015
7/29/2015
10/29/2015
1/28/2016
04/26/2016
08/03/2016
11/03/2016
02/02/2017
04/27/2017
