GEF
LATEST_ANNOUNCEMENT_DT
4/30/1990
7/31/1990
10/31/1990
1/31/1991
4/30/1991
7/31/1991
10/31/1991
1/31/1992
4/30/1992
7/31/1992
10/31/1992
1/31/1993
4/30/1993
7/31/1993
10/31/1993
1/31/1994
4/30/1994
7/31/1994
12/1/1994
2/28/1995
6/8/1995
9/11/1995
12/4/1995
3/8/1996
6/7/1996
9/6/1996
12/3/1996
3/10/1997
6/6/1997
9/9/1997
12/8/1997
2/26/1998
6/12/1998
9/3/1998
12/18/1998
3/15/1999
6/7/1999
9/7/1999
12/6/1999
2/28/2000
6/9/2000
9/7/2000
12/5/2000
3/6/2001
6/7/2001
9/6/2001
12/12/2001
3/6/2002
6/5/2002
9/9/2002
12/11/2002
3/4/2003
6/4/2003
9/10/2003
12/11/2003
3/1/2004
6/3/2004
9/1/2004
12/8/2004
3/2/2005
6/2/2005
8/31/2005
12/7/2005
3/1/2006
5/31/2006
8/30/2006
12/6/2006
2/28/2007
6/6/2007
8/29/2007
12/5/2007
2/27/2008
6/4/2008
8/27/2008
12/10/2008
2/25/2009
6/3/2009
9/2/2009
12/9/2009
2/24/2010
6/2/2010
9/1/2010
12/8/2010
3/2/2011
6/8/2011
8/31/2011
12/7/2011
2/29/2012
6/6/2012
8/29/2012
12/11/2012
2/27/2013
6/5/2013
9/4/2013
12/10/2013
2/26/2014
6/4/2014
8/27/2014
1/14/2015
3/4/2015
6/9/2015
9/3/2015
12/10/2015
03/07/2016
06/08/2016
08/31/2016
12/07/2016
03/01/2017
06/14/2017
