MNRO
LATEST_ANNOUNCEMENT_DT
5/22/1996
7/18/1996
10/17/1996
1/21/1997
5/20/1997
7/21/1997
10/17/1997
1/22/1998
5/20/1998
7/22/1998
10/22/1998
1/21/1999
5/27/1999
7/21/1999
10/21/1999
1/21/2000
5/18/2000
7/20/2000
10/19/2000
1/18/2001
5/17/2001
7/19/2001
10/18/2001
1/17/2002
5/16/2002
7/25/2002
10/17/2002
1/17/2003
5/22/2003
7/24/2003
10/16/2003
1/15/2004
5/20/2004
7/15/2004
10/14/2004
1/18/2005
5/24/2005
7/14/2005
10/18/2005
1/17/2006
5/23/2006
7/18/2006
10/17/2006
1/16/2007
5/22/2007
7/26/2007
10/23/2007
1/24/2008
5/29/2008
7/24/2008
10/21/2008
1/22/2009
5/28/2009
7/23/2009
10/26/2009
1/28/2010
5/27/2010
7/22/2010
10/21/2010
1/25/2011
5/17/2011
7/21/2011
10/20/2011
1/24/2012
5/24/2012
7/26/2012
10/25/2012
1/29/2013
5/21/2013
7/25/2013
10/24/2013
1/28/2014
5/22/2014
7/24/2014
10/23/2014
1/27/2015
5/21/2015
7/23/2015
10/22/2015
1/26/2016
05/19/2016
07/28/2016
10/20/2016
02/01/2017
05/18/2017
