INTL
LATEST_ANNOUNCEMENT_DT
5/14/1996
8/9/1996
11/27/1996
2/14/1997
5/13/1997
8/11/1997
11/26/1997
2/11/1998
5/11/1998
8/13/1998
12/10/1998
2/8/1999
4/21/1999
8/12/1999
12/20/1999
2/10/2000
5/11/2000
8/9/2000
11/28/2000
2/14/2001
5/14/2001
8/3/2001
12/28/2001
2/19/2002
5/14/2002
8/9/2002
12/9/2002
2/13/2003
5/13/2003
8/13/2003
12/19/2003
2/12/2004
5/17/2004
8/16/2004
12/23/2004
2/14/2005
5/23/2005
8/15/2005
12/21/2005
2/14/2006
5/10/2006
8/9/2006
12/20/2006
2/14/2007
5/15/2007
8/14/2007
12/12/2007
2/11/2008
5/12/2008
8/11/2008
12/8/2008
2/9/2009
5/11/2009
8/5/2009
12/14/2009
2/16/2010
5/13/2010
8/12/2010
12/14/2010
2/9/2011
5/10/2011
8/9/2011
12/13/2011
2/8/2012
5/9/2012
8/8/2012
12/12/2012
2/7/2013
5/8/2013
8/7/2013
1/9/2014
2/10/2014
5/7/2014
8/6/2014
12/10/2014
2/9/2015
5/6/2015
8/5/2015
12/9/2015
2/9/2016
5/4/2016
8/3/2016
