TNM
LATEST_ANNOUNCEMENT_DT
5/29/1996
8/6/1996
10/31/1996
2/4/1997
5/28/1997
7/31/1997
11/6/1997
2/4/1998
5/27/1998
8/5/1998
11/4/1998
2/2/1999
5/26/1999
8/4/1999
11/3/1999
2/2/2000
5/24/2000
8/2/2000
11/1/2000
2/7/2001
5/23/2001
8/14/2001
11/13/2001
2/14/2002
5/22/2002
8/14/2002
11/5/2002
2/10/2003
5/7/2003
8/13/2003
11/5/2003
2/12/2004
5/12/2004
8/9/2004
11/9/2004
2/2/2005
5/16/2005
8/9/2005
11/9/2005
2/9/2006
5/17/2006
