CCC
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/18/1996
10/15/1996
2/3/1997
4/22/1997
7/22/1997
10/20/1997
2/3/1998
4/21/1998
7/22/1998
10/22/1998
2/9/1999
4/20/1999
7/22/1999
10/25/1999
2/9/2000
4/18/2000
7/26/2000
10/18/2000
2/7/2001
5/1/2001
7/31/2001
10/31/2001
2/5/2002
4/23/2002
7/30/2002
10/24/2002
2/7/2003
4/22/2003
7/31/2003
10/22/2003
2/6/2004
4/20/2004
7/26/2004
10/21/2004
2/7/2005
4/20/2005
7/25/2005
10/24/2005
3/29/2006
5/3/2006
7/24/2006
11/28/2006
3/27/2007
5/21/2007
8/2/2007
11/2/2007
2/22/2008
5/2/2008
7/31/2008
10/31/2008
2/27/2009
5/4/2009
8/5/2009
10/30/2009
2/26/2010
4/29/2010
8/3/2010
11/1/2010
2/23/2011
5/3/2011
8/2/2011
11/3/2011
2/27/2012
5/1/2012
8/8/2012
11/2/2012
2/27/2013
5/6/2013
8/6/2013
11/5/2013
2/19/2014
5/8/2014
8/8/2014
11/5/2014
2/19/2015
5/7/2015
8/6/2015
11/5/2015
2/19/2016
05/05/2016
08/05/2016
11/03/2016
02/24/2017
05/04/2017
