GXP
LATEST_ANNOUNCEMENT_DT
5/5/1992
8/5/1992
10/26/1992
2/2/1993
4/26/1993
7/26/1993
10/15/1993
2/1/1994
4/14/1994
7/14/1994
10/13/1994
2/7/1995
4/17/1995
7/14/1995
10/10/1995
2/6/1996
4/12/1996
7/12/1996
10/28/1996
2/4/1997
4/17/1997
7/17/1997
10/16/1997
2/4/1998
4/14/1998
7/20/1998
10/15/1998
2/2/1999
5/13/1999
8/12/1999
10/15/1999
2/1/2000
4/16/2000
7/19/2000
10/26/2000
2/6/2001
4/25/2001
7/25/2001
10/24/2001
2/6/2002
4/24/2002
7/24/2002
10/30/2002
2/5/2003
4/23/2003
7/23/2003
10/22/2003
2/4/2004
4/21/2004
7/26/2004
10/21/2004
2/2/2005
5/4/2005
8/3/2005
11/1/2005
2/9/2006
5/3/2006
8/2/2006
11/2/2006
2/7/2007
5/2/2007
8/1/2007
10/30/2007
2/6/2008
5/7/2008
8/6/2008
11/5/2008
2/10/2009
5/11/2009
8/5/2009
10/29/2009
2/25/2010
5/6/2010
8/5/2010
10/28/2010
2/24/2011
5/3/2011
8/5/2011
11/3/2011
2/28/2012
5/3/2012
8/8/2012
11/8/2012
2/28/2013
5/9/2013
8/8/2013
11/7/2013
2/26/2014
5/8/2014
8/7/2014
11/6/2014
2/25/2015
5/7/2015
8/6/2015
11/05/2015
02/24/2016
05/05/2016
08/04/2016
11/03/2016
02/23/2017
05/04/2017
