JH
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/18/1996
10/28/1996
2/3/1997
4/21/1997
7/28/1997
10/27/1997
1/26/1998
4/21/1998
7/27/1998
10/26/1998
1/25/1999
4/22/1999
7/23/1999
1/24/2000
4/26/2000
7/24/2000
10/30/2000
1/30/2001
4/26/2001
8/1/2001
10/31/2001
1/31/2002
4/25/2002
7/31/2002
10/31/2002
1/30/2003
4/23/2003
7/28/2003
10/29/2003
1/28/2004
4/20/2004
7/28/2004
10/27/2004
2/2/2005
5/10/2005
8/3/2005
11/2/2005
2/8/2006
5/3/2006
8/3/2006
11/1/2006
2/7/2007
